#,Contest,Start time,Rank,Solved,Rating change,New rating,Title
1,Educational Codeforces Round 58 (Rated for Div. 2),Jan/11/2019 17:35,50,5,257,1757,Expert
2,Codeforces Round 532 (Div. 2),Jan/13/2019 17:35,276,3,75,1832,Expert
3,Educational Codeforces Round 59 (Rated for Div. 2),Jan/26/2019 18:35,455,4,13,1845,Expert
4,CodeCraft-19 and Codeforces Round 537 (Div. 2),Feb/03/2019 18:35,1082,2,-31,1814,Expert
5,Codeforces Global Round 1,Feb/07/2019 16:35,856,3,46,1860,Expert
6,Educational Codeforces Round 60 (Rated for Div. 2),Feb/18/2019 18:40,1465,2,-63,1797,Expert
7,Codeforces Round 546 (Div. 2),Mar/11/2019 19:35,200,4,68,1865,Expert
8,Educational Codeforces Round 62 (Rated for Div. 2),Mar/22/2019 18:05,351,4,23,1888,Expert
9,Codeforces Round 551 (Div. 2),Apr/13/2019 17:05,638,4,-10,1878,Expert
10,Codeforces Round 553 (Div. 2),Apr/18/2019 18:35,283,4,36,1914,Candidate Master
11,Codeforces Round 574 (Div. 2),Jul/17/2019 17:35,717,5,-18,1896,Expert
12,Educational Codeforces Round 69 (Rated for Div. 2),Jul/22/2019 17:35,1186,3,-47,1849,Expert
13,Codeforces Round 581 (Div. 2),Aug/20/2019 17:35,796,3,7,1856,Expert
14,Educational Codeforces Round 71 (Rated for Div. 2),Aug/22/2019 17:35,477,5,28,1884,Expert
15,"Manthan, Codefest 19 (open for everyone, rated, Div. 1 + Div. 2)",Aug/25/2019 17:35,1127,3,-4,1880,Expert
16,"Codeforces Round 584 - Dasha Code Championship - Elimination Round (rated, open for everyone, Div. 1 + Div. 2)",Sep/14/2019 16:05,696,6,44,1924,Candidate Master
17,Codeforces Round 586 (Div. 1 + Div. 2),Sep/18/2019 19:05,227,5,97,2021,Candidate Master
18,Codeforces Round 592 (Div. 2),Oct/13/2019 12:05,195,5,25,2046,Candidate Master
19,Codeforces Round 601 (Div. 1),Nov/19/2019 17:35,309,3,27,2073,Candidate Master
20,"Codeforces Round 602 (Div. 1, based on Technocup 2020 Elimination Round 3)",Nov/24/2019 11:05,430,3,-66,2007,Candidate Master
21,Codeforces Global Round 6,Dec/17/2019 18:05,2026,3,-95,1912,Candidate Master
22,Educational Codeforces Round 78 (Rated for Div. 2),Dec/19/2019 17:35,1614,2,-73,1839,Expert
23,Codeforces Round 609 (Div. 2),Dec/21/2019 14:05,612,3,-12,1827,Expert
24,Codeforces Round 610 (Div. 2),Dec/24/2019 17:35,1218,3,-36,1791,Expert
25,Educational Codeforces Round 79 (Rated for Div. 2),Dec/27/2019 17:40,118,4,125,1916,Candidate Master
26,Good Bye 2019,Dec/29/2019 17:05,1080,4,11,1927,Candidate Master
27,Codeforces Round 612 (Div. 1),Jan/05/2020 17:05,520,2,14,1941,Candidate Master
