#,Contest,Start time,Rank,Solved,Rating change,New rating,Title
1,Codeforces Round 742 (Div. 2),Sep/05/2021 17:35,142,5,749,749,Newbie
2,Educational Codeforces Round 113 (Rated for Div. 2),Sep/08/2021 17:35,623,4,423,1172,Newbie
3,Codeforces Global Round 16,Sep/12/2021 17:35,2791,5,211,1383,Pupil
4,Educational Codeforces Round 114 (Rated for Div. 2),Sep/20/2021 17:35,100,4,334,1717,Expert
5,Codeforces Round 745 (Div. 2),Sep/30/2021 13:15,448,2,98,1815,Expert
6,Codeforces Round 746 (Div. 2),Oct/03/2021 17:35,26,4,243,2058,Candidate Master
7,Codeforces Round 747 (Div. 2),Oct/08/2021 18:05,159,5,28,2086,Candidate Master
8,Educational Codeforces Round 115 (Rated for Div. 2),Oct/10/2021 12:05,27,6,104,2190,Master
9,"Deltix Round, Autumn 2021 (open for everyone, rated, Div. 1 + Div. 2)",Nov/28/2021 17:35,84,6,157,2347,International Master
10,Codeforces Round 758 (Div.1 + Div. 2),Dec/11/2021 13:05,176,4,25,2372,International Master
11,Good Bye 2021: 2022 is NEAR,Dec/29/2021 18:35,455,5,-13,2359,International Master
12,Hello 2022,Jan/03/2022 17:35,686,4,-49,2310,International Master
13,Pinely Round 1 (Div. 1 + Div. 2),Nov/20/2022 17:35,220,5,32,2342,International Master
