#,Contest,Start time,Rank,Solved,Rating change,New rating,Title
1,Codeforces Round 731 (Div. 3),Jul/10/2021 17:35,515,5,609,609,Newbie
2,Codeforces Round 748 (Div. 3),Oct/13/2021 17:35,31,7,563,1172,Newbie
3,"Codeforces Round 749 (Div. 1 + Div. 2, based on Technocup 2022 Elimination Round 1)",Oct/17/2021 14:05,2669,1,191,1363,Pupil
4,Educational Codeforces Round 116 (Rated for Div. 2),Oct/29/2021 17:35,617,3,221,1584,Specialist
5,Codeforces Round 753 (Div. 3),Nov/02/2021 17:35,62,6,203,1787,Expert
6,Codeforces Round 754 (Div. 2),Nov/12/2021 17:35,3391,2,-59,1728,Expert
7,"Deltix Round, Autumn 2021 (open for everyone, rated, Div. 1 + Div. 2)",Nov/28/2021 17:35,1982,2,-28,1700,Expert
8,Educational Codeforces Round 118 (Rated for Div. 2),Dec/01/2021 17:35,199,5,126,1826,Expert
9,Codeforces Round 758 (Div.1 + Div. 2),Dec/11/2021 13:05,5567,1,-170,1656,Expert
10,"Codeforces Round 759 (Div. 2, based on Technocup 2022 Elimination Round 3)",Dec/12/2021 18:15,544,4,54,1710,Expert
11,Educational Codeforces Round 120 (Rated for Div. 2),Dec/27/2021 17:35,161,4,138,1848,Expert
12,Hello 2022,Jan/03/2022 17:35,2524,2,-46,1802,Expert
13,Codeforces Round 765 (Div. 2),Jan/12/2022 15:05,121,4,122,1924,Candidate Master
14,Codeforces Round 767 (Div. 1),Jan/22/2022 17:35,288,4,132,2056,Candidate Master
15,Educational Codeforces Round 123 (Rated for Div. 2),Feb/22/2022 17:35,66,5,76,2132,Master
16,Codeforces Round 792 (Div. 1 + Div. 2),May/19/2022 17:35,1854,3,-102,2030,Candidate Master
17,Educational Codeforces Round 129 (Rated for Div. 2),May/23/2022 17:35,43,5,109,2139,Master
18,Codeforces Round 796 (Div. 1),Jun/03/2022 17:35,172,3,90,2229,Master
19,Codeforces Round 800 (Div. 1),Jun/16/2022 17:35,626,2,-82,2147,Master
20,Codeforces Global Round 21,Jun/25/2022 17:35,307,5,72,2219,Master
21,Good Bye 2022: 2023 is NEAR,Dec/30/2022 17:35,325,5,64,2283,Master
22,Hello 2023,Jan/03/2023 17:35,585,4,-14,2269,Master
23,Codeforces Round 854 by cybercats (Div. 1 + Div. 2),Feb/27/2023 17:35,441,5,-16,2253,Master
