#,Contest,Start time,Rank,Solved,Rating change,New rating,Title
1,Codeforces Round 378 (Div. 2),Oct/31/2016 17:05,3673,1,-99,1401,Specialist
2,Codeforces Round 379 (Div. 2),Nov/15/2016 19:35,849,3,63,1464,Specialist
3,Codeforces Round 388 (Div. 2),Dec/19/2016 19:35,2817,1,-80,1384,Pupil
4,Good Bye 2016,Dec/30/2016 17:15,3887,2,-10,1374,Pupil
5,8VC Venture Cup 2017 - Elimination Round,Jan/15/2017 20:05,2372,2,-20,1354,Pupil
6,Codeforces Round 393 (Div. 2) (8VC Venture Cup 2017 - Final Round Div. 2 Edition),Jan/22/2017 21:15,1125,2,35,1389,Pupil
7,"Divide by Zero 2017 and Codeforces Round 399 (Div. 1 + Div. 2, combined)",Feb/20/2017 19:05,4033,1,-74,1315,Pupil
8,"ICM Technex 2017 and Codeforces Round 400 (Div. 1 + Div. 2, combined)",Feb/23/2017 17:45,2168,2,40,1355,Pupil
9,Codeforces Round 401 (Div. 2),Feb/24/2017 13:05,2383,1,-50,1305,Pupil
10,"Codeforces Round 405 (rated, Div. 2, based on VK Cup 2017 Round 1)",Mar/18/2017 18:35,1779,1,-4,1301,Pupil
11,Codeforces Round 406 (Div. 2),Mar/23/2017 18:05,2731,0,-99,1202,Pupil
12,Educational Codeforces Round 57 (Rated for Div. 2),Dec/28/2018 17:35,2767,2,42,1244,Pupil
13,Good Bye 2018,Dec/30/2018 17:35,4367,2,33,1277,Pupil
14,Hello 2019,Jan/04/2019 17:45,5403,1,-25,1252,Pupil
15,Codeforces Round 530 (Div. 2),Jan/05/2019 19:35,4785,1,-89,1163,Newbie
16,Codeforces Round 531 (Div. 3),Jan/09/2019 17:35,2463,2,40,1203,Pupil
17,Educational Codeforces Round 58 (Rated for Div. 2),Jan/11/2019 17:35,2280,3,78,1281,Pupil
18,Codeforces Round 532 (Div. 2),Jan/13/2019 17:35,4591,1,-78,1203,Pupil
19,Codeforces Round 533 (Div. 2),Jan/20/2019 15:05,4433,1,-44,1159,Newbie
20,Codeforces Round 534 (Div. 2),Jan/22/2019 17:35,1457,3,139,1298,Pupil
21,Codeforces Round 535 (Div. 3),Jan/23/2019 17:35,2225,3,23,1321,Pupil
22,Educational Codeforces Round 59 (Rated for Div. 2),Jan/26/2019 18:35,3614,2,-56,1265,Pupil
23,CodeCraft-19 and Codeforces Round 537 (Div. 2),Feb/03/2019 18:35,4983,0,-110,1155,Newbie
24,Codeforces Global Round 1,Feb/07/2019 16:35,2805,2,117,1272,Pupil
25,Codeforces Round 538 (Div. 2),Feb/10/2019 17:05,3227,1,21,1293,Pupil
26,Codeforces Round 539 (Div. 2),Feb/16/2019 19:35,1905,2,45,1338,Pupil
27,Educational Codeforces Round 60 (Rated for Div. 2),Feb/18/2019 18:40,2003,2,43,1381,Pupil
28,Codeforces Round 540 (Div. 3),Feb/19/2019 17:35,4905,1,-98,1283,Pupil
