#,Contest,Start time,Rank,Solved,Rating change,New rating,Title
1,Codeforces Global Round 3,Jun/01/2019 17:35,4631,1,-105,1395,Pupil
2,Codeforces Round 564 (Div. 2),Jun/07/2019 15:05,3616,2,-58,1337,Pupil
3,Codeforces Round 567 (Div. 2),Jun/16/2019 12:35,2531,1,-3,1334,Pupil
4,Codeforces Round 578 (Div. 2),Aug/11/2019 15:35,532,4,189,1523,Specialist
5,Codeforces Round 580 (Div. 2),Aug/18/2019 16:45,1837,3,12,1535,Specialist
6,Codeforces Round 585 (Div. 2),Sep/15/2019 13:35,1700,3,3,1538,Specialist
7,Codeforces Round 587 (Div. 3),Sep/21/2019 10:05,489,4,39,1577,Specialist
8,Codeforces Round 592 (Div. 2),Oct/13/2019 12:05,3031,2,-54,1523,Specialist
9,"Codeforces Round 596 (Div. 2, based on Technocup 2020 Elimination Round 2)",Oct/26/2019 14:05,739,4,58,1581,Specialist
10,"Codeforces Round 606 (Div. 2, based on Technocup 2020 Elimination Round 4)",Dec/14/2019 14:05,474,4,65,1646,Expert
11,Codeforces Round 609 (Div. 2),Dec/21/2019 14:05,542,3,47,1693,Expert
12,Hello 2020,Jan/04/2020 15:05,2056,3,13,1706,Expert
13,Educational Codeforces Round 82 (Rated for Div. 2),Feb/12/2020 17:35,522,4,82,1788,Expert
14,Codeforces Round 620 (Div. 2),Feb/15/2020 16:05,227,5,104,1892,Expert
15,Codeforces Round 622 (Div. 2),Feb/23/2020 12:05,657,4,3,1895,Expert
16,"Codeforces Round 625 (Div. 2, based on Technocup 2020 Final Round)",Mar/01/2020 16:15,1931,2,-90,1805,Expert
17,CodeCraft-20 (Div. 2),Mar/04/2020 17:35,425,4,52,1857,Expert
18,"Codeforces Round 626 (Div. 2, based on Moscow Open Olympiad in Informatics)",Mar/07/2020 12:35,464,3,-1,1856,Expert
19,Codeforces Round 628 (Div. 2),Mar/14/2020 17:35,1678,4,-35,1821,Expert
20,Codeforces Round 630 (Div. 2),Mar/31/2020 16:35,380,5,90,1911,Candidate Master
21,Codeforces Round 643 (Div. 2),May/16/2020 14:35,364,5,65,1976,Candidate Master
22,Codeforces Round 670 (Div. 2),Sep/12/2020 16:45,239,4,57,2033,Candidate Master
23,Codeforces Raif Round 1 (Div. 1 + Div. 2),Oct/17/2020 16:05,1607,4,-48,1985,Candidate Master
24,Codeforces Round 676 (Div. 2),Oct/18/2020 12:05,1198,3,-59,1926,Candidate Master
25,Codeforces Global Round 12,Dec/06/2020 17:35,511,5,82,2008,Candidate Master
