#,Contest,Start time,Rank,Solved,Rating change,New rating,Title
1,Codeforces Round 787 (Div. 3),May/05/2022 17:35,55,6,708,708,Newbie
2,Codeforces Round 788 (Div. 2),May/06/2022 17:35,4195,2,259,967,Newbie
3,Codeforces Round 789 (Div. 2),May/08/2022 17:35,93,5,446,1413,Specialist
4,Educational Codeforces Round 128 (Rated for Div. 2),May/13/2022 17:35,400,4,223,1636,Expert
5,Codeforces Round 791 (Div. 2),May/14/2022 12:35,974,3,86,1722,Expert
6,Codeforces Round 792 (Div. 1 + Div. 2),May/19/2022 17:35,1024,4,94,1816,Expert
7,Codeforces Round 793 (Div. 2),May/22/2022 17:35,61,4,150,1966,Candidate Master
8,Educational Codeforces Round 129 (Rated for Div. 2),May/23/2022 17:35,747,4,-27,1939,Candidate Master
9,CodeCraft-22 and Codeforces Round 795 (Div. 2),May/31/2022 17:35,113,5,79,2018,Candidate Master
10,Codeforces Round 796 (Div. 1),Jun/03/2022 17:35,388,2,29,2047,Candidate Master
11,Codeforces Round 798 (Div. 2),Jun/10/2022 19:35,647,3,-63,1984,Candidate Master
12,Educational Codeforces Round 130 (Rated for Div. 2),Jun/12/2022 17:35,117,4,63,2047,Candidate Master
13,Codeforces Round 800 (Div. 1),Jun/16/2022 17:35,236,3,96,2143,Master
14,Codeforces Round 808 (Div. 1),Jul/16/2022 17:35,558,2,-34,2109,Master
15,"CodeTON Round 2 (Div. 1 + Div. 2, Rated, Prizes!)",Jul/31/2022 17:05,636,4,18,2127,Master
16,Codeforces Global Round 22,Sep/30/2022 17:35,1032,4,-40,2087,Candidate Master
17,Dytechlab Cup 2022,Oct/07/2022 17:35,2933,2,-161,1926,Candidate Master
18,Codeforces Round 832 (Div. 2),Nov/04/2022 17:35,119,4,86,2012,Candidate Master
19,"CodeTON Round 3 (Div. 1 + Div. 2, Rated, Prizes!)",Nov/06/2022 17:35,521,4,45,2057,Candidate Master
20,Codeforces Round 833 (Div. 2),Nov/12/2022 17:35,1911,2,-117,1940,Candidate Master
21,Pinely Round 1 (Div. 1 + Div. 2),Nov/20/2022 17:35,486,4,61,2001,Candidate Master
22,Codeforces Round 838 (Div. 2),Dec/15/2022 17:35,48,4,109,2110,Master
23,"Polynomial Round 2022 (Div. 1 + Div. 2, Rated, Prizes!)",Dec/17/2022 17:35,599,5,5,2115,Master
24,Good Bye 2022: 2023 is NEAR,Dec/30/2022 17:35,1220,4,-22,2093,Candidate Master
25,Codeforces Round 843 (Div. 2),Jan/10/2023 14:15,98,6,51,2144,Master
26,"Codeforces Round 844 (Div. 1 + Div. 2, based on VK Cup 2022 - Elimination Round)",Jan/15/2023 15:05,942,4,-46,2098,Candidate Master
27,"TypeDB Forces 2023 (Div. 1 + Div. 2, Rated, Prizes!)",Jan/29/2023 17:35,499,5,35,2133,Master
