#,Contest,Start time,Rank,Solved,Rating change,New rating,Title
1,Codeforces Round 744 (Div. 3),Sep/28/2021 17:35,31,7,741,741,Newbie
2,Codeforces Round 754 (Div. 2),Nov/12/2021 17:35,33,5,599,1340,Pupil
3,Codeforces Round 756 (Div. 3),Nov/25/2021 17:35,22,7,356,1696,Expert
4,Codeforces Round 757 (Div. 2),Nov/26/2021 14:15,35,5,280,1976,Candidate Master
5,Codeforces Round 769 (Div. 2),Jan/30/2022 17:35,51,4,187,2163,Master
6,Codeforces Round 792 (Div. 1 + Div. 2),May/19/2022 17:35,527,4,43,2206,Master
7,Codeforces Round 796 (Div. 1),Jun/03/2022 17:35,252,2,30,2236,Master
8,Codeforces Round 808 (Div. 1),Jul/16/2022 17:35,621,1,-68,2168,Master
9,Codeforces Round 814 (Div. 1),Aug/16/2022 17:35,225,4,62,2230,Master
10,Codeforces Global Round 22,Sep/30/2022 17:35,190,6,78,2308,International Master
11,Codeforces Round 831 (Div. 1 + Div. 2),Oct/29/2022 12:10,60,6,107,2415,Grandmaster
12,Pinely Round 1 (Div. 1 + Div. 2),Nov/20/2022 17:35,301,4,-19,2396,International Master
