#,Contest,Start time,Rank,Solved,Rating change,New rating,Title
1,Codeforces Round 690 (Div. 3),Dec/15/2020 17:35,5473,3,443,443,Newbie
2,Educational Codeforces Round 100 (Rated for Div. 2),Dec/17/2020 17:35,3770,1,365,808,Newbie
3,Codeforces Round 691 (Div. 2),Dec/19/2020 12:35,4520,1,193,1001,Newbie
4,"Codeforces Round 692 (Div. 2, based on Technocup 2021 Elimination Round 3)",Dec/20/2020 18:05,4976,2,110,1111,Newbie
5,Educational Codeforces Round 101 (Rated for Div. 2),Dec/28/2020 17:35,7657,1,59,1170,Newbie
6,Codeforces Round 693 (Div. 3),Jan/04/2021 17:35,2903,4,101,1271,Pupil
7,Codeforces Round 694 (Div. 2),Jan/05/2021 17:35,7978,1,-45,1226,Pupil
8,CodeCraft-21 and Codeforces Round 711 (Div. 2),Mar/29/2021 17:35,3900,2,22,1248,Pupil
9,Codeforces Round 712 (Div. 2),Apr/03/2021 17:35,5723,2,-34,1214,Pupil
10,Codeforces Round 713 (Div. 3),Apr/10/2021 17:35,3794,3,14,1228,Pupil
11,Divide by Zero 2021 and Codeforces Round 714 (Div. 2),Apr/11/2021 17:35,2488,2,74,1302,Pupil
12,Educational Codeforces Round 107 (Rated for Div. 2),Apr/12/2021 17:35,1681,4,95,1397,Pupil
13,Codeforces Round 715 (Div. 2),Apr/16/2021 17:35,3970,2,-22,1375,Pupil
14,Codeforces Round 717 (Div. 2),Apr/21/2021 16:35,2330,2,50,1425,Specialist
15,Contest 2050 and Codeforces Round 718 (Div. 1 + Div. 2),Apr/23/2021 17:35,6446,1,-64,1361,Pupil
16,Educational Codeforces Round 108 (Rated for Div. 2),Apr/29/2021 17:35,4480,2,-6,1355,Pupil
17,Codeforces Global Round 14,May/02/2021 17:35,3661,3,36,1391,Pupil
18,Codeforces Round 719 (Div. 3),May/05/2021 17:35,1389,5,51,1442,Specialist
19,Codeforces Round 720 (Div. 2),May/07/2021 17:35,2042,2,58,1500,Specialist
20,Educational Codeforces Round 109 (Rated for Div. 2),May/16/2021 11:00,3319,2,-34,1466,Specialist
21,Codeforces Round 721 (Div. 2),May/20/2021 17:35,6249,2,-51,1415,Specialist
22,Codeforces Round 722 (Div. 2),May/24/2021 17:35,1141,3,92,1507,Specialist
23,Codeforces Round 723 (Div. 2),May/28/2021 17:05,4494,2,-36,1471,Specialist
24,"Deltix Round, Spring 2021 (open for everyone, rated, Div. 1 + Div. 2)",May/30/2021 17:35,2901,2,20,1491,Specialist
25,Educational Codeforces Round 110 (Rated for Div. 2),Jun/04/2021 17:35,8357,2,-90,1401,Specialist
26,Codeforces Round 724 (Div. 2),Jun/06/2021 17:35,3501,2,1,1402,Specialist
27,Codeforces Round 725 (Div. 3),Jun/10/2021 17:35,1434,4,44,1446,Specialist
28,Codeforces Round 726 (Div. 2),Jun/18/2021 17:35,2544,4,42,1488,Specialist
29,Codeforces Round 727 (Div. 2),Jun/20/2021 13:05,1034,4,74,1562,Specialist
30,Codeforces Round 728 (Div. 2),Jun/25/2021 18:35,665,3,72,1634,Expert
