#,Contest,Start time,Rank,Solved,Rating change,New rating,Title
1,Codeforces Global Round 9,Jul/04/2020 17:45,4833,3,518,518,Newbie
2,Codeforces Round 657 (Div. 2),Jul/19/2020 12:00,236,3,605,1123,Newbie
3,Codeforces Round 659 (Div. 2),Jul/24/2020 17:35,2439,2,244,1367,Pupil
4,Codeforces Round 660 (Div. 2),Jul/30/2020 17:35,1174,3,204,1571,Specialist
5,Codeforces Round 661 (Div. 3),Aug/05/2020 17:35,290,4,154,1725,Expert
6,Codeforces Round 662 (Div. 2),Aug/07/2020 17:35,343,4,150,1875,Expert
7,Codeforces Round 665 (Div. 2),Aug/21/2020 17:35,1430,4,-23,1852,Expert
8,Codeforces Round 666 (Div. 2),Aug/30/2020 17:35,1929,3,-51,1801,Expert
9,Codeforces Round 670 (Div. 2),Sep/12/2020 16:45,929,3,24,1825,Expert
10,Codeforces Round 672 (Div. 2),Sep/24/2020 17:35,969,4,13,1838,Expert
11,Grakn Forces 2020,Sep/30/2020 17:35,456,5,124,1962,Candidate Master
12,Codeforces Raif Round 1 (Div. 1 + Div. 2),Oct/17/2020 16:05,791,4,39,2001,Candidate Master
13,"Codeforces Round 679 (Div. 1, based on Technocup 2021 Elimination Round 1)",Oct/25/2020 14:05,566,2,-17,1984,Candidate Master
14,"Codeforces Round 680 (Div. 1, based on Moscow Team Olympiad)",Nov/01/2020 14:05,853,1,-75,1909,Candidate Master
15,"Codeforces Round 681 (Div. 1, based on VK Cup 2019-2020 - Final)",Nov/02/2020 17:35,537,2,39,1948,Candidate Master
16,Codeforces Round 685 (Div. 2),Nov/21/2020 17:35,219,6,65,2013,Candidate Master
17,Educational Codeforces Round 99 (Rated for Div. 2),Nov/30/2020 17:35,1534,4,-72,1941,Candidate Master
18,Good Bye 2020,Dec/30/2020 17:35,1114,5,32,1973,Candidate Master
19,Codeforces Round 695 (Div. 2),Jan/08/2021 17:35,110,4,98,2071,Candidate Master
20,Codeforces Round 696 (Div. 2),Jan/19/2021 17:35,265,3,19,2090,Candidate Master
21,Codeforces Round 698 (Div. 1),Jan/28/2021 17:35,562,2,-32,2058,Candidate Master
22,Codeforces Round 699 (Div. 2),Feb/05/2021 17:35,197,4,37,2095,Candidate Master
23,Codeforces Round 701 (Div. 2),Feb/12/2021 17:50,31,5,130,2225,Master
24,Codeforces Global Round 13,Feb/28/2021 16:35,1049,4,-43,2182,Master
25,Codeforces Round 712 (Div. 1),Apr/03/2021 17:35,627,2,-41,2141,Master
26,Codeforces Round 722 (Div. 1),May/24/2021 17:35,472,2,1,2142,Master
27,Codeforces Round 736 (Div. 1),Aug/01/2021 17:35,528,2,1,2143,Master
28,Codeforces Round 745 (Div. 1),Sep/30/2021 13:15,277,1,14,2157,Master
29,Codeforces Round 751 (Div. 1),Oct/25/2021 09:35,133,3,87,2244,Master
30,Technocup 2022 - Elimination Round 2,Nov/14/2021 09:05,4,5,102,2346,International Master
31,Codeforces Global Round 18,Dec/24/2021 17:35,611,4,-47,2299,Master
32,Codeforces Round 773 (Div. 1),Feb/23/2022 13:10,290,3,8,2307,International Master
33,Codeforces Round 789 (Div. 1),May/08/2022 17:35,43,4,164,2471,Grandmaster
34,Codeforces Round 829 (Div. 1),Oct/23/2022 10:50,298,4,-34,2437,Grandmaster
35,"Polynomial Round 2022 (Div. 1 + Div. 2, Rated, Prizes!)",Dec/17/2022 17:35,247,6,-3,2434,Grandmaster
36,"Codeforces Round 844 (Div. 1 + Div. 2, based on VK Cup 2022 - Elimination Round)",Jan/15/2023 15:05,57,6,109,2543,Grandmaster
