#,Contest,Start time,Rank,Solved,Rating change,New rating,Title
1,Codeforces Round 633 (Div. 2),Apr/12/2020 17:05,2815,3,22,1522,Specialist
2,Codeforces Round 641 (Div. 2),May/12/2020 15:35,1430,3,69,1591,Specialist
3,Codeforces Round 654 (Div. 2),Jul/01/2020 16:35,760,5,102,1693,Expert
4,Codeforces Round 657 (Div. 2),Jul/19/2020 12:00,476,3,116,1809,Expert
5,"Codeforces Round 679 (Div. 2, based on Technocup 2021 Elimination Round 1)",Oct/25/2020 14:05,271,4,41,1850,Expert
6,"Codeforces Round 680 (Div. 2, based on Moscow Team Olympiad)",Nov/01/2020 14:05,291,4,27,1877,Expert
7,Codeforces Round 701 (Div. 2),Feb/12/2021 17:50,78,4,147,2024,Candidate Master
8,"Codeforces Round 707 (Div. 1, based on Moscow Open Olympiad in Informatics)",Mar/13/2021 12:05,586,1,-46,1978,Candidate Master
9,Educational Codeforces Round 108 (Rated for Div. 2),Apr/29/2021 17:35,941,4,-36,1942,Candidate Master
10,Codeforces Global Round 14,May/02/2021 17:35,1304,4,-2,1940,Candidate Master
11,Codeforces Round 720 (Div. 2),May/07/2021 17:35,5650,1,-141,1799,Expert
12,Codeforces Round 727 (Div. 2),Jun/20/2021 13:05,552,4,31,1830,Expert
13,Codeforces Round 729 (Div. 2),Jul/03/2021 16:05,1904,3,-43,1787,Expert
14,Codeforces Round 738 (Div. 2),Aug/15/2021 17:35,56,6,189,1976,Candidate Master
15,"Codeforces Round 740 (Div. 1, based on VK Cup 2021 - Final (Engine))",Aug/24/2021 17:35,282,3,108,2084,Candidate Master
16,Educational Codeforces Round 127 (Rated for Div. 2),Apr/22/2022 17:35,267,5,-4,2080,Candidate Master
17,Codeforces Round 785 (Div. 2),Apr/30/2022 17:35,89,4,57,2137,Master
18,Codeforces Round 800 (Div. 1),Jun/16/2022 17:35,391,2,6,2143,Master
19,Codeforces Global Round 21,Jun/25/2022 17:35,123,6,149,2292,Master
20,Codeforces Round 808 (Div. 1),Jul/16/2022 17:35,248,3,19,2311,International Master
21,"Polynomial Round 2022 (Div. 1 + Div. 2, Rated, Prizes!)",Dec/17/2022 17:35,208,6,42,2353,International Master
