#,Contest,Start time,Rank,Solved,Rating change,New rating,Title
1,Codeforces Round 443 (Div. 2),Oct/26/2017 17:45,3266,1,-83,1417,Specialist
2,Codeforces Round 446 (Div. 2),Nov/17/2017 17:35,2710,1,-53,1364,Pupil
3,Codeforces Round 448 (Div. 2),Nov/26/2017 19:05,1802,0,-95,1269,Pupil
4,Codeforces Round 453 (Div. 2),Dec/19/2017 18:35,2119,2,24,1293,Pupil
5,"Codeforces Round 454 (Div. 2, based on Technocup 2018 Elimination Round 4)",Dec/23/2017 17:05,2241,0,-94,1199,Newbie
6,Educational Codeforces Round 35 (Rated for Div. 2),Dec/28/2017 17:05,1838,2,48,1247,Pupil
7,Good Bye 2017,Dec/29/2017 18:40,3288,2,50,1297,Pupil
8,Codeforces Round 456 (Div. 2),Jan/05/2018 17:35,2578,1,-9,1288,Pupil
9,Hello 2018,Jan/08/2018 17:45,1424,3,133,1421,Specialist
10,"Codecraft-18 and Codeforces Round 458 (Div. 1 + Div. 2, combined)",Jan/20/2018 18:35,3208,1,-41,1380,Pupil
11,Codeforces Round 459 (Div. 2),Jan/29/2018 17:35,1072,2,65,1445,Specialist
12,Codeforces Round 460 (Div. 2),Jan/31/2018 16:05,1160,3,45,1490,Specialist
13,Educational Codeforces Round 37 (Rated for Div. 2),Feb/02/2018 17:35,505,3,76,1566,Specialist
14,Codeforces Round 462 (Div. 2),Feb/14/2018 15:05,1767,2,-23,1543,Specialist
15,"ICM Technex 2018 and Codeforces Round 463 (Div. 1 + Div. 2, combined)",Feb/15/2018 17:35,2008,2,-17,1526,Specialist
16,Codeforces Round 464 (Div. 2),Feb/17/2018 13:05,1424,3,-24,1502,Specialist
17,Codeforces Round 469 (Div. 2),Mar/09/2018 11:10,1201,2,-10,1492,Specialist
18,Codeforces Round 473 (Div. 2),Apr/03/2018 19:05,1073,3,14,1506,Specialist
19,"Divide by Zero 2018 and Codeforces Round 474 (Div. 1 + Div. 2, combined)",Apr/07/2018 19:05,641,3,99,1605,Expert
20,Codeforces Round 495 (Div. 2),Jul/05/2018 19:35,467,3,62,1667,Expert
21,Codeforces Round 499 (Div. 2),Jul/26/2018 18:05,96,5,133,1800,Expert
22,"Codeforces Round 512 (Div. 2, based on Technocup 2019 Elimination Round 1)",Sep/23/2018 16:05,842,3,-40,1760,Expert
23,"Codeforces Round 513 by Barcelona Bootcamp (rated, Div. 1 + Div. 2)",Oct/04/2018 10:05,753,4,17,1777,Expert
24,Lyft Level 5 Challenge 2018 - Elimination Round,Oct/07/2018 20:05,679,3,29,1806,Expert
25,Mail.Ru Cup 2018 Round 1,Oct/18/2018 19:35,348,4,75,1881,Expert
26,"Codeforces Round 517 (Div. 2, based on Technocup 2019 Elimination Round 2)",Oct/21/2018 11:10,192,3,14,1895,Expert
27,"Codeforces Round 518 (Div. 2) [Thanks, Mail.Ru!]",Oct/24/2018 19:35,359,3,-6,1889,Expert
28,Educational Codeforces Round 53 (Rated for Div. 2),Oct/25/2018 17:35,501,3,-5,1884,Expert
29,Codeforces Round 519 by Botan Investments,Oct/28/2018 18:35,1401,3,-52,1832,Expert
30,Lyft Level 5 Challenge 2018 - Final Round (Open Div. 2),Nov/04/2018 21:10,530,3,-45,1787,Expert
31,Educational Codeforces Round 54 (Rated for Div. 2),Nov/12/2018 17:35,107,5,106,1893,Expert
32,Codeforces Round 520 (Div. 2),Nov/14/2018 18:35,988,3,-36,1857,Expert
33,Codeforces Round 523 (Div. 2),Nov/22/2018 18:45,2169,1,-107,1750,Expert
34,Codeforces Round 524 (Div. 2),Nov/24/2018 10:35,473,3,19,1769,Expert
35,Mail.Ru Cup 2018 Round 3,Nov/25/2018 19:35,841,3,-10,1759,Expert
36,Educational Codeforces Round 55 (Rated for Div. 2),Nov/28/2018 17:35,532,3,26,1785,Expert
37,Codeforces Round 525 (Div. 2),Dec/04/2018 17:35,1117,3,-35,1750,Expert
38,Codeforces Round 526 (Div. 2),Dec/10/2018 19:35,1162,2,-61,1689,Expert
39,Avito Cool Challenge 2018,Dec/16/2018 17:35,1765,2,-55,1634,Expert
40,Hello 2019,Jan/04/2019 17:45,1337,3,52,1686,Expert
41,Codeforces Round 530 (Div. 2),Jan/05/2019 19:35,2044,3,-61,1625,Expert
42,Codeforces Round 532 (Div. 2),Jan/13/2019 17:35,502,3,76,1701,Expert
43,Codeforces Round 533 (Div. 2),Jan/20/2019 15:05,210,4,110,1811,Expert
44,Codeforces Round 534 (Div. 2),Jan/22/2019 17:35,904,3,-25,1786,Expert
45,Educational Codeforces Round 59 (Rated for Div. 2),Jan/26/2019 18:35,136,4,97,1883,Expert
46,Codeforces Global Round 1,Feb/07/2019 16:35,389,4,96,1979,Candidate Master
47,Educational Codeforces Round 60 (Rated for Div. 2),Feb/18/2019 18:40,398,3,-4,1975,Candidate Master
48,Codeforces Round 546 (Div. 2),Mar/11/2019 19:35,244,4,7,1982,Candidate Master
49,Educational Codeforces Round 62 (Rated for Div. 2),Mar/22/2019 18:05,240,4,13,1995,Candidate Master
50,Codeforces Round 553 (Div. 2),Apr/18/2019 18:35,308,4,0,1995,Candidate Master
51,Educational Codeforces Round 63 (Rated for Div. 2),Apr/22/2019 17:35,85,5,68,2063,Candidate Master
52,Codeforces Round 554 (Div. 2),Apr/24/2019 17:35,566,3,-48,2015,Candidate Master
53,Codeforces Round 561 (Div. 2),May/17/2019 18:05,2003,2,-127,1888,Expert
