#,Contest,Start time,Rank,Solved,Rating change,New rating,Title
1,Codeforces Global Round 15,Jul/25/2021 17:35,537,5,726,726,Newbie
2,Codeforces Round 735 (Div. 2),Jul/29/2021 17:35,381,4,471,1197,Newbie
3,Educational Codeforces Round 112 (Rated for Div. 2),Jul/30/2021 17:35,489,4,320,1517,Specialist
4,Codeforces Round 736 (Div. 2),Aug/01/2021 17:35,947,4,139,1656,Expert
5,Codeforces Round 737 (Div. 2),Aug/09/2021 17:35,410,3,166,1822,Expert
6,Codeforces Round 738 (Div. 2),Aug/15/2021 17:35,1546,4,15,1837,Expert
7,Hello 2022,Jan/03/2022 17:35,4507,2,-101,1736,Expert
8,Codeforces Round 765 (Div. 2),Jan/12/2022 15:05,668,3,36,1772,Expert
9,Codeforces Round 766 (Div. 2),Jan/15/2022 17:35,3274,2,-81,1691,Expert
10,Codeforces Round 767 (Div. 2),Jan/22/2022 17:35,51,6,181,1872,Expert
11,Codeforces Round 768 (Div. 2),Jan/27/2022 17:35,910,3,-17,1855,Expert
12,Codeforces Global Round 19,Feb/12/2022 17:35,2141,3,-36,1819,Expert
13,Codeforces Round 771 (Div. 2),Feb/14/2022 17:35,71,4,155,1974,Candidate Master
14,Codeforces Round 774 (Div. 2),Mar/04/2022 18:35,31,5,131,2105,Master
15,"Codeforces Round 775 (Div. 1, based on Moscow Open Olympiad in Informatics)",Mar/06/2022 12:55,800,0,-99,2006,Candidate Master
16,Educational Codeforces Round 124 (Rated for Div. 2),Mar/10/2022 17:35,675,3,-38,1968,Candidate Master
17,Codeforces Round 777 (Div. 2),Mar/11/2022 17:35,454,4,-1,1967,Candidate Master
18,Codeforces Round 813 (Div. 2),Aug/13/2022 17:35,143,4,79,2046,Candidate Master
19,Codeforces Round 814 (Div. 1),Aug/16/2022 17:35,515,3,-1,2045,Candidate Master
20,Codeforces Round 816 (Div. 2),Aug/20/2022 17:35,34,5,119,2164,Master
21,Codeforces Global Round 22,Sep/30/2022 17:35,1135,4,-58,2106,Master
22,Hello 2023,Jan/03/2023 17:35,581,4,32,2138,Master
23,"Codeforces Round 844 (Div. 1 + Div. 2, based on VK Cup 2022 - Elimination Round)",Jan/15/2023 15:05,430,5,31,2169,Master
24,"TypeDB Forces 2023 (Div. 1 + Div. 2, Rated, Prizes!)",Jan/29/2023 17:35,725,4,-18,2151,Master
25,Codeforces Round 854 by cybercats (Div. 1 + Div. 2),Feb/27/2023 17:35,638,5,-22,2129,Master
