#,Contest,Start time,Rank,Solved,Rating change,New rating,Title
1,Codeforces Round 350 (Div. 2),May/05/2016 19:05,2136,2,-67,1433,Specialist
2,Codeforces Round 362 (Div. 2),Jul/14/2016 19:35,2653,1,-69,1364,Pupil
3,Codeforces Round 367 (Div. 2),Aug/11/2016 19:35,2434,2,-17,1347,Pupil
4,Codeforces Round 379 (Div. 2),Nov/15/2016 19:35,3185,2,-60,1287,Pupil
5,Codeforces Round 381 (Div. 2),Nov/23/2016 19:35,249,3,203,1490,Specialist
6,Codeforces Round 385 (Div. 2),Dec/17/2016 19:35,1574,2,-8,1482,Specialist
7,Codeforces Round 386 (Div. 2),Dec/18/2016 13:35,763,3,39,1521,Specialist
8,Codeforces Round 387 (Div. 2),Dec/19/2016 05:05,488,3,16,1537,Specialist
9,"Codeforces Round 389 (Div. 2, Rated, Based on Technocup 2017 - Elimination Round 3)",Dec/25/2016 12:05,257,3,81,1618,Expert
10,Good Bye 2016,Dec/30/2016 17:15,1565,3,39,1657,Expert
11,"Codecraft-17 and Codeforces Round 391 (Div. 1 + Div. 2, combined)",Jan/12/2017 18:35,1860,2,-30,1627,Expert
12,Codeforces Round 397 by Kaspersky Lab and Barcelona Bootcamp (Div. 1 + Div. 2 combined),Feb/14/2017 11:05,472,4,95,1722,Expert
13,"Divide by Zero 2017 and Codeforces Round 399 (Div. 1 + Div. 2, combined)",Feb/20/2017 19:05,1647,2,-32,1690,Expert
14,"ICM Technex 2017 and Codeforces Round 400 (Div. 1 + Div. 2, combined)",Feb/23/2017 17:45,1618,2,-24,1666,Expert
15,Codeforces Round 406 (Div. 2),Mar/23/2017 18:05,714,2,10,1676,Expert
16,Codeforces Round 415 (Div. 2),May/20/2017 21:05,686,2,-25,1651,Expert
17,"Codeforces Round 424 (Div. 2, rated, based on VK Cup Finals)",Jul/13/2017 18:05,731,3,0,1651,Expert
18,Codeforces Round 427 (Div. 2),Jul/31/2017 17:35,1047,3,-11,1640,Expert
19,Codeforces Round 429 (Div. 2),Aug/18/2017 18:05,254,3,81,1721,Expert
