#,Contest,Start time,Rank,Solved,Rating change,New rating,Title
1,Codeforces Round 646 (Div. 2),May/31/2020 17:35,4135,2,544,544,Newbie
2,"Codeforces Round 647 (Div. 2) - Thanks, Algo Muse!",Jun/04/2020 17:35,2701,3,391,935,Newbie
3,Codeforces Round 648 (Div. 2),Jun/07/2020 17:35,2010,4,325,1260,Pupil
4,Educational Codeforces Round 89 (Rated for Div. 2),Jun/11/2020 17:35,1879,3,197,1457,Specialist
5,Codeforces Round 649 (Div. 2),Jun/13/2020 18:05,1509,3,156,1613,Expert
6,Educational Codeforces Round 90 (Rated for Div. 2),Jun/25/2020 17:35,1400,4,83,1696,Expert
7,Codeforces Global Round 9,Jul/04/2020 17:45,2883,3,5,1701,Expert
8,Codeforces Round 662 (Div. 2),Aug/07/2020 17:35,4484,2,-65,1636,Expert
9,Codeforces Round 663 (Div. 2),Aug/09/2020 17:35,639,4,97,1733,Expert
10,Codeforces Round 664 (Div. 2),Aug/12/2020 17:35,854,3,37,1770,Expert
11,Educational Codeforces Round 93 (Rated for Div. 2),Aug/14/2020 17:35,127,5,154,1924,Candidate Master
12,Codeforces Global Round 10,Aug/16/2020 17:35,544,5,79,2003,Candidate Master
13,Educational Codeforces Round 104 (Rated for Div. 2),Feb/15/2021 17:35,25,5,152,2155,Master
14,"Codeforces Round 733 (Div. 1 + Div. 2, based on VK Cup 2021 - Elimination (Engine))",Jul/17/2021 17:35,950,4,-39,2116,Master
15,Codeforces Global Round 16,Sep/12/2021 17:35,2884,4,-134,1982,Candidate Master
16,Educational Codeforces Round 114 (Rated for Div. 2),Sep/20/2021 17:35,208,4,50,2032,Candidate Master
17,Codeforces Round 745 (Div. 1),Sep/30/2021 13:15,106,2,155,2187,Master
18,Codeforces Round 773 (Div. 1),Feb/23/2022 13:10,161,3,95,2282,Master
19,Codeforces Round 789 (Div. 1),May/08/2022 17:35,52,4,156,2438,Grandmaster
20,Codeforces Global Round 22,Sep/30/2022 17:35,268,5,-2,2436,Grandmaster
21,Codeforces Global Round 23,Oct/15/2022 17:35,59,6,125,2561,Grandmaster
22,"Codeforces Round 850 (Div. 1, based on VK Cup 2022 - Final Round)",Feb/05/2023 15:05,240,3,-33,2528,Grandmaster
23,Codeforces Round 854 by cybercats (Div. 1 + Div. 2),Feb/27/2023 17:35,71,7,68,2596,Grandmaster
