#,Contest,Start time,Rank,Solved,Rating change,New rating,Title
1,Educational Codeforces Round 74 (Rated for Div. 2),Oct/08/2019 17:35,1772,3,27,1527,Specialist
2,Codeforces Round 685 (Div. 2),Nov/21/2020 17:35,5858,2,-75,1452,Specialist
3,Good Bye 2020,Dec/30/2020 17:35,3105,4,53,1505,Specialist
4,Codeforces Round 705 (Div. 2),Mar/06/2021 17:05,1251,2,63,1568,Specialist
5,Educational Codeforces Round 106 (Rated for Div. 2),Mar/18/2021 17:50,1766,3,13,1581,Specialist
6,Codeforces Round 710 (Div. 3),Mar/25/2021 17:35,1248,4,-6,1575,Specialist
7,CodeCraft-21 and Codeforces Round 711 (Div. 2),Mar/29/2021 17:35,1252,3,37,1612,Expert
8,Codeforces Round 712 (Div. 2),Apr/03/2021 17:35,1517,3,3,1615,Expert
9,Educational Codeforces Round 107 (Rated for Div. 2),Apr/12/2021 17:35,2419,3,-22,1593,Specialist
10,Codeforces Round 716 (Div. 2),Apr/19/2021 16:35,1452,3,20,1613,Expert
11,Contest 2050 and Codeforces Round 718 (Div. 1 + Div. 2),Apr/23/2021 17:35,1054,4,102,1715,Expert
12,Educational Codeforces Round 108 (Rated for Div. 2),Apr/29/2021 17:35,1800,4,-15,1700,Expert
13,Codeforces Global Round 14,May/02/2021 17:35,1342,4,57,1757,Expert
14,Codeforces Round 720 (Div. 2),May/07/2021 17:35,6365,1,-117,1640,Expert
15,Educational Codeforces Round 109 (Rated for Div. 2),May/16/2021 11:00,971,3,32,1672,Expert
16,Codeforces Round 721 (Div. 2),May/20/2021 17:35,1146,3,36,1708,Expert
17,"Deltix Round, Spring 2021 (open for everyone, rated, Div. 1 + Div. 2)",May/30/2021 17:35,2342,3,-14,1694,Expert
18,Educational Codeforces Round 110 (Rated for Div. 2),Jun/04/2021 17:35,595,4,68,1762,Expert
19,Codeforces Round 724 (Div. 2),Jun/06/2021 17:35,467,4,63,1825,Expert
20,Codeforces LATOKEN Round 1 (Div. 1 + Div. 2),Jun/13/2021 18:35,434,5,110,1935,Candidate Master
21,Codeforces Round 729 (Div. 2),Jul/03/2021 16:05,375,3,33,1968,Candidate Master
22,Educational Codeforces Round 111 (Rated for Div. 2),Jul/14/2021 17:35,40,4,144,2112,Master
23,"Deltix Round, Summer 2021 (open for everyone, rated, Div. 1 + Div. 2)",Aug/29/2021 17:35,688,5,8,2120,Master
24,Codeforces Global Round 16,Sep/12/2021 17:35,841,6,-13,2107,Master
25,Good Bye 2022: 2023 is NEAR,Dec/30/2022 17:35,599,4,43,2150,Master
26,Hello 2023,Jan/03/2023 17:35,1529,4,-68,2082,Candidate Master
27,Codeforces Round 842 (Div. 2),Jan/05/2023 17:35,10,5,186,2268,Master
