#,Contest,Start time,Rank,Solved,Rating change,New rating,Title
1,Codeforces Round 508 (Div. 2),Sep/06/2018 18:35,4289,1,-96,1404,Specialist
2,Educational Codeforces Round 50 (Rated for Div. 2),Sep/07/2018 17:35,2108,2,7,1411,Specialist
3,Educational Codeforces Round 51 (Rated for Div. 2),Sep/20/2018 17:45,1340,3,45,1456,Specialist
4,Codeforces Round 515 (Div. 3),Oct/12/2018 17:35,3262,0,-119,1337,Pupil
5,"Codeforces Round 517 (Div. 2, based on Technocup 2019 Elimination Round 2)",Oct/21/2018 11:10,1483,1,2,1339,Pupil
6,Educational Codeforces Round 53 (Rated for Div. 2),Oct/25/2018 17:35,1610,2,52,1391,Pupil
7,Educational Codeforces Round 54 (Rated for Div. 2),Nov/12/2018 17:35,1621,3,20,1411,Specialist
8,Codeforces Round 521 (Div. 3),Nov/16/2018 17:35,2135,2,-28,1383,Pupil
9,Codeforces Round 523 (Div. 2),Nov/22/2018 18:45,3017,1,-47,1336,Pupil
10,Codeforces Round 524 (Div. 2),Nov/24/2018 10:35,1374,3,46,1382,Pupil
11,Educational Codeforces Round 55 (Rated for Div. 2),Nov/28/2018 17:35,1305,2,54,1436,Specialist
12,Codeforces Round 526 (Div. 2),Dec/10/2018 19:35,681,3,63,1499,Specialist
13,Codeforces Round 529 (Div. 3),Dec/27/2018 17:35,952,3,17,1516,Specialist
14,Codeforces Round 544 (Div. 3),Mar/07/2019 18:05,533,4,43,1559,Specialist
15,Codeforces Round 546 (Div. 2),Mar/11/2019 19:35,894,3,34,1593,Specialist
16,Codeforces Round 552 (Div. 3),Apr/16/2019 17:35,39,5,156,1749,Expert
17,Codeforces Round 558 (Div. 2),May/09/2019 18:05,197,5,88,1837,Expert
18,Codeforces Global Round 4,Jul/20/2019 18:35,2458,3,-85,1752,Expert
19,Codeforces Round 578 (Div. 2),Aug/11/2019 15:35,405,4,69,1821,Expert
20,Codeforces Round 580 (Div. 2),Aug/18/2019 16:45,1565,3,-51,1770,Expert
21,Codeforces Round 581 (Div. 2),Aug/20/2019 17:35,875,3,21,1791,Expert
