#,Contest,Start time,Rank,Solved,Rating change,New rating,Title
1,Codeforces Round 776 (Div. 3),Mar/08/2022 17:35,65,5,707,707,Newbie
2,Codeforces Round 784 (Div. 4),Apr/21/2022 17:35,103,8,452,1159,Newbie
3,Codeforces Round 790 (Div. 4),May/10/2022 17:45,69,9,341,1500,Specialist
4,Codeforces Round 807 (Div. 2),Jul/15/2022 16:35,1182,4,134,1634,Expert
5,Codeforces Round 809 (Div. 2),Jul/18/2022 17:35,1237,4,93,1727,Expert
6,Educational Codeforces Round 132 (Rated for Div. 2),Jul/21/2022 17:35,378,4,119,1846,Expert
7,Educational Codeforces Round 138 (Rated for Div. 2),Oct/20/2022 17:35,199,4,76,1922,Candidate Master
8,Codeforces Round 832 (Div. 2),Nov/04/2022 17:35,48,4,132,2054,Candidate Master
9,Codeforces Round 836 (Div. 2),Nov/25/2022 18:35,438,4,-26,2028,Candidate Master
10,Codeforces Round 838 (Div. 2),Dec/15/2022 17:35,24,4,134,2162,Master
