#,Contest,Start time,Rank,Solved,Rating change,New rating,Title
1,Codeforces Round 657 (Div. 2),Jul/19/2020 12:00,794,2,673,673,Newbie
2,Codeforces Round 658 (Div. 2),Jul/21/2020 17:35,9760,2,237,910,Newbie
3,Educational Codeforces Round 92 (Rated for Div. 2),Jul/29/2020 17:35,649,4,418,1328,Pupil
4,Codeforces Round 660 (Div. 2),Jul/30/2020 17:35,1161,3,215,1543,Specialist
5,Codeforces Round 661 (Div. 3),Aug/05/2020 17:35,124,5,203,1746,Expert
6,Codeforces Global Round 10,Aug/16/2020 17:35,955,5,113,1859,Expert
7,Codeforces Round 666 (Div. 2),Aug/30/2020 17:35,1264,3,-27,1832,Expert
8,Codeforces Round 668 (Div. 2),Sep/06/2020 17:35,600,4,16,1848,Expert
9,Codeforces Round 673 (Div. 2),Sep/27/2020 18:05,844,3,-30,1818,Expert
10,Grakn Forces 2020,Sep/30/2020 17:35,782,4,79,1897,Expert
11,Codeforces Round 675 (Div. 2),Oct/04/2020 19:05,576,3,6,1903,Candidate Master
12,"Codeforces Round 680 (Div. 1, based on Moscow Team Olympiad)",Nov/01/2020 14:05,840,1,-59,1844,Expert
13,"Codeforces Round 681 (Div. 2, based on VK Cup 2019-2020 - Final)",Nov/02/2020 17:35,402,4,13,1857,Expert
14,"Codeforces Round 683 (Div. 2, by Meet IT)",Nov/15/2020 17:35,1101,3,-59,1798,Expert
15,Good Bye 2020,Dec/30/2020 17:35,1118,5,71,1869,Expert
16,Codeforces Round 694 (Div. 2),Jan/05/2021 17:35,615,3,11,1880,Expert
17,Educational Codeforces Round 102 (Rated for Div. 2),Jan/14/2021 17:35,1703,3,-50,1830,Expert
18,Codeforces Round 698 (Div. 2),Jan/28/2021 17:35,17,5,194,2024,Candidate Master
19,Educational Codeforces Round 103 (Rated for Div. 2),Jan/29/2021 17:35,1434,4,-58,1966,Candidate Master
20,Codeforces Round 699 (Div. 2),Feb/05/2021 17:35,94,4,101,2067,Candidate Master
21,Codeforces Round 700 (Div. 1),Feb/07/2021 17:35,587,2,9,2076,Candidate Master
22,Codeforces Global Round 13,Feb/28/2021 16:35,2878,2,-109,1967,Candidate Master
23,Codeforces Round 705 (Div. 2),Mar/06/2021 17:05,43,4,130,2097,Candidate Master
24,Codeforces Round 712 (Div. 1),Apr/03/2021 17:35,427,3,27,2124,Master
25,Contest 2050 and Codeforces Round 718 (Div. 1 + Div. 2),Apr/23/2021 17:35,311,4,76,2200,Master
26,Codeforces Round 722 (Div. 1),May/24/2021 17:35,118,4,120,2320,International Master
27,Codeforces Round 732 (Div. 1),Jul/11/2021 17:05,703,2,-87,2233,Master
28,Codeforces Global Round 15,Jul/25/2021 17:35,214,6,75,2308,International Master
29,Codeforces Round 736 (Div. 1),Aug/01/2021 17:35,836,2,-93,2215,Master
30,"Codeforces Round 740 (Div. 1, based on VK Cup 2021 - Final (Engine))",Aug/24/2021 17:35,250,3,44,2259,Master
31,Codeforces Global Round 16,Sep/12/2021 17:35,1512,5,-101,2158,Master
32,"Codeforces Round 749 (Div. 1 + Div. 2, based on Technocup 2022 Elimination Round 1)",Oct/17/2021 14:05,425,5,23,2181,Master
33,Codeforces Global Round 17,Nov/23/2021 17:35,268,5,58,2239,Master
34,"Deltix Round, Autumn 2021 (open for everyone, rated, Div. 1 + Div. 2)",Nov/28/2021 17:35,718,4,-42,2197,Master
35,Hello 2022,Jan/03/2022 17:35,309,5,60,2257,Master
36,Codeforces Round 767 (Div. 1),Jan/22/2022 17:35,305,4,20,2277,Master
37,Codeforces Round 768 (Div. 1),Jan/27/2022 17:35,381,3,-18,2259,Master
38,Codeforces Global Round 19,Feb/12/2022 17:35,566,5,-13,2246,Master
39,Codeforces Round 773 (Div. 1),Feb/23/2022 13:10,177,3,69,2315,International Master
40,"Codeforces Round 778 (Div. 1 + Div. 2, based on Technocup 2022 Final Round)",Mar/20/2022 14:35,134,5,80,2395,International Master
41,"CodeTON Round 1 (Div. 1 + Div. 2, Rated, Prizes!)",Mar/24/2022 17:35,336,5,0,2395,International Master
42,Codeforces Round 783 (Div. 1),Apr/19/2022 17:35,104,3,72,2467,Grandmaster
43,Codeforces Global Round 20,Apr/23/2022 17:05,131,7,57,2524,Grandmaster
44,Codeforces Round 794 (Div. 1),May/25/2022 20:35,79,3,27,2551,Grandmaster
45,Codeforces Round 796 (Div. 1),Jun/03/2022 17:35,100,3,24,2575,Grandmaster
46,Codeforces Round 808 (Div. 1),Jul/16/2022 17:35,55,3,66,2641,International Grandmaster
47,"CodeTON Round 2 (Div. 1 + Div. 2, Rated, Prizes!)",Jul/31/2022 17:05,85,6,34,2675,International Grandmaster
48,Codeforces Round 814 (Div. 1),Aug/16/2022 17:35,10,5,169,2844,International Grandmaster
49,Codeforces Global Round 23,Oct/15/2022 17:35,331,4,-105,2739,International Grandmaster
50,Codeforces Round 831 (Div. 1 + Div. 2),Oct/29/2022 12:10,170,5,-76,2663,International Grandmaster
51,"Polynomial Round 2022 (Div. 1 + Div. 2, Rated, Prizes!)",Dec/17/2022 17:35,119,7,-7,2656,International Grandmaster
52,Good Bye 2022: 2023 is NEAR,Dec/30/2022 17:35,231,5,-21,2635,International Grandmaster
53,Hello 2023,Jan/03/2023 17:35,214,6,-22,2613,International Grandmaster
54,"Codeforces Round 850 (Div. 1, based on VK Cup 2022 - Final Round)",Feb/05/2023 15:05,98,4,25,2638,International Grandmaster
55,Codeforces Round 854 by cybercats (Div. 1 + Div. 2),Feb/27/2023 17:35,201,6,-41,2597,Grandmaster
