#,Contest,Start time,Rank,Solved,Rating change,New rating,Title
1,"Codeforces Round 647 (Div. 2) - Thanks, Algo Muse!",Jun/04/2020 17:35,1697,4,595,595,Newbie
2,Codeforces Round 648 (Div. 2),Jun/07/2020 17:35,4080,3,356,951,Newbie
3,Codeforces Round 659 (Div. 2),Jul/24/2020 17:35,3198,1,262,1213,Pupil
4,Codeforces Round 661 (Div. 3),Aug/05/2020 17:35,5176,3,91,1304,Pupil
5,Codeforces Round 662 (Div. 2),Aug/07/2020 17:35,731,3,252,1556,Specialist
6,Grakn Forces 2020,Sep/30/2020 17:35,1433,3,123,1679,Expert
7,Codeforces Round 691 (Div. 2),Dec/19/2020 12:35,788,3,13,1692,Expert
8,Codeforces Round 705 (Div. 2),Mar/06/2021 17:05,853,2,40,1732,Expert
9,"Codeforces Round 707 (Div. 2, based on Moscow Open Olympiad in Informatics)",Mar/13/2021 12:05,196,3,85,1817,Expert
10,"Codeforces Round 709 (Div. 2, based on Technocup 2021 Final Round)",Mar/21/2021 16:20,160,4,67,1884,Expert
11,Codeforces Round 715 (Div. 2),Apr/16/2021 17:35,1314,3,-51,1833,Expert
12,Contest 2050 and Codeforces Round 718 (Div. 1 + Div. 2),Apr/23/2021 17:35,964,4,53,1886,Expert
13,Educational Codeforces Round 108 (Rated for Div. 2),Apr/29/2021 17:35,675,4,8,1894,Expert
14,Codeforces Global Round 14,May/02/2021 17:35,1118,4,25,1919,Candidate Master
15,Codeforces Round 729 (Div. 2),Jul/03/2021 16:05,385,3,37,1956,Candidate Master
16,"Codeforces Round 733 (Div. 1 + Div. 2, based on VK Cup 2021 - Elimination (Engine))",Jul/17/2021 17:35,3527,3,-117,1839,Expert
17,Codeforces Round 736 (Div. 2),Aug/01/2021 17:35,274,4,52,1891,Expert
18,Codeforces Round 738 (Div. 2),Aug/15/2021 17:35,146,5,105,1996,Candidate Master
19,Codeforces Round 741 (Div. 2),Aug/26/2021 17:35,208,5,44,2040,Candidate Master
20,"Deltix Round, Summer 2021 (open for everyone, rated, Div. 1 + Div. 2)",Aug/29/2021 17:35,402,5,76,2116,Master
21,Codeforces Global Round 16,Sep/12/2021 17:35,895,6,-17,2099,Candidate Master
22,Codeforces Round 745 (Div. 1),Sep/30/2021 13:15,41,3,217,2316,International Master
23,Codeforces Round 752 (Div. 1),Oct/30/2021 17:35,457,2,-31,2285,Master
24,Good Bye 2021: 2022 is NEAR,Dec/29/2021 18:35,627,5,-18,2267,Master
25,"Codeforces Round 775 (Div. 1, based on Moscow Open Olympiad in Informatics)",Mar/06/2022 12:55,106,3,98,2365,International Master
26,Codeforces Global Round 22,Sep/30/2022 17:35,194,6,40,2405,Grandmaster
27,Good Bye 2022: 2023 is NEAR,Dec/30/2022 17:35,38,6,175,2580,Grandmaster
