#,Contest,Start time,Rank,Solved,Rating change,New rating,Title
1,Codeforces Round 589 (Div. 2),Sep/29/2019 16:05,1406,3,63,1563,Specialist
2,Codeforces Round 688 (Div. 2),Dec/04/2020 16:05,395,4,129,1692,Expert
3,"Codeforces Round 689 (Div. 2, based on Zed Code Competition)",Dec/11/2020 17:35,178,5,137,1829,Expert
4,Educational Codeforces Round 100 (Rated for Div. 2),Dec/17/2020 17:35,1149,3,-5,1824,Expert
5,Codeforces Round 691 (Div. 2),Dec/19/2020 12:35,190,3,56,1880,Expert
6,Educational Codeforces Round 101 (Rated for Div. 2),Dec/28/2020 17:35,375,4,51,1931,Candidate Master
7,Good Bye 2020,Dec/30/2020 17:35,1544,5,3,1934,Candidate Master
8,Codeforces Round 694 (Div. 1),Jan/05/2021 17:35,913,1,-62,1872,Expert
9,Codeforces Round 695 (Div. 2),Jan/08/2021 17:35,667,3,26,1898,Expert
10,Educational Codeforces Round 102 (Rated for Div. 2),Jan/14/2021 17:35,49,5,149,2047,Candidate Master
11,Codeforces Round 696 (Div. 2),Jan/19/2021 17:35,169,4,48,2095,Candidate Master
12,Codeforces Round 698 (Div. 1),Jan/28/2021 17:35,493,2,-14,2081,Candidate Master
13,Educational Codeforces Round 103 (Rated for Div. 2),Jan/29/2021 17:35,703,4,-29,2052,Candidate Master
14,Codeforces Round 699 (Div. 2),Feb/05/2021 17:35,416,4,-1,2051,Candidate Master
15,Codeforces Round 700 (Div. 1),Feb/07/2021 17:35,943,1,-64,1987,Candidate Master
16,Codeforces Round 701 (Div. 2),Feb/12/2021 17:50,72,4,118,2105,Master
17,Codeforces Global Round 13,Feb/28/2021 16:35,1135,4,-21,2084,Candidate Master
18,Educational Codeforces Round 105 (Rated for Div. 2),Mar/02/2021 17:45,735,3,-39,2045,Candidate Master
19,Codeforces Round 705 (Div. 2),Mar/06/2021 17:05,118,4,58,2103,Master
20,Codeforces Round 706 (Div. 1),Mar/10/2021 15:05,457,2,31,2134,Master
21,"Codeforces Round 707 (Div. 1, based on Moscow Open Olympiad in Informatics)",Mar/13/2021 12:05,631,0,-101,2033,Candidate Master
22,Educational Codeforces Round 106 (Rated for Div. 2),Mar/18/2021 17:50,101,4,69,2102,Master
23,"Codeforces Round 709 (Div. 1, based on Technocup 2021 Final Round)",Mar/21/2021 16:20,290,3,61,2163,Master
24,Codeforces Round 715 (Div. 1),Apr/16/2021 17:35,631,2,-50,2113,Master
25,Contest 2050 and Codeforces Round 718 (Div. 1 + Div. 2),Apr/23/2021 17:35,800,4,-1,2112,Master
26,Codeforces Round 829 (Div. 1),Oct/23/2022 10:50,746,3,-57,2055,Candidate Master
27,Codeforces Round 831 (Div. 1 + Div. 2),Oct/29/2022 12:10,81,6,157,2212,Master
28,Good Bye 2022: 2023 is NEAR,Dec/30/2022 17:35,445,4,41,2253,Master
29,Hello 2023,Jan/03/2023 17:35,717,4,-24,2229,Master
30,"Codeforces Round 844 (Div. 1 + Div. 2, based on VK Cup 2022 - Elimination Round)",Jan/15/2023 15:05,417,5,9,2238,Master
31,"Codeforces Round 850 (Div. 1, based on VK Cup 2022 - Final Round)",Feb/05/2023 15:05,82,4,147,2385,International Master
