#,Contest,Start time,Rank,Solved,Rating change,New rating,Title
1,Codeforces Round 500 (Div. 2) [based on EJOI],Jul/30/2018 11:15,2835,1,-97,1403,Specialist
2,Codeforces Round 579 (Div. 3),Aug/13/2019 17:35,757,5,78,1481,Specialist
3,Codeforces Round 580 (Div. 2),Aug/18/2019 16:45,3348,3,-29,1452,Specialist
4,Codeforces Round 581 (Div. 2),Aug/20/2019 17:35,1011,3,105,1557,Specialist
5,Educational Codeforces Round 71 (Rated for Div. 2),Aug/22/2019 17:35,4857,2,-79,1478,Specialist
6,"Manthan, Codefest 19 (open for everyone, rated, Div. 1 + Div. 2)",Aug/25/2019 17:35,855,4,135,1613,Expert
7,Educational Codeforces Round 81 (Rated for Div. 2),Jan/29/2020 17:35,1197,3,45,1658,Expert
8,Codeforces Round 620 (Div. 2),Feb/15/2020 16:05,451,5,103,1761,Expert
9,"Codeforces Round 625 (Div. 2, based on Technocup 2020 Final Round)",Mar/01/2020 16:15,432,4,35,1796,Expert
10,Codeforces Round 657 (Div. 2),Jul/19/2020 12:00,452,3,89,1885,Expert
11,Codeforces Round 659 (Div. 2),Jul/24/2020 17:35,2499,2,-56,1829,Expert
12,Codeforces Round 663 (Div. 2),Aug/09/2020 17:35,440,4,63,1892,Expert
13,Codeforces Global Round 10,Aug/16/2020 17:35,641,5,74,1966,Candidate Master
14,Codeforces Round 671 (Div. 2),Sep/19/2020 17:35,1039,5,-31,1935,Candidate Master
15,Grakn Forces 2020,Sep/30/2020 17:35,837,4,40,1975,Candidate Master
16,Codeforces Round 678 (Div. 2),Oct/24/2020 17:05,164,4,58,2033,Candidate Master
17,"Codeforces Round 679 (Div. 1, based on Technocup 2021 Elimination Round 1)",Oct/25/2020 14:05,270,3,80,2113,Master
18,"Codeforces Round 680 (Div. 1, based on Moscow Team Olympiad)",Nov/01/2020 14:05,466,2,0,2113,Master
19,"Codeforces Round 687 (Div. 1, based on Technocup 2021 Elimination Round 2)",Nov/29/2020 10:05,543,2,-27,2086,Candidate Master
20,"Codeforces Round 689 (Div. 2, based on Zed Code Competition)",Dec/11/2020 17:35,946,4,-70,2016,Candidate Master
21,Codeforces Round 698 (Div. 1),Jan/28/2021 17:35,473,2,12,2028,Candidate Master
22,Educational Codeforces Round 103 (Rated for Div. 2),Jan/29/2021 17:35,116,5,79,2107,Master
23,Codeforces Round 700 (Div. 1),Feb/07/2021 17:35,141,4,142,2249,Master
24,Codeforces Global Round 13,Feb/28/2021 16:35,174,5,97,2346,International Master
25,Codeforces Round 706 (Div. 1),Mar/10/2021 15:05,262,3,16,2362,International Master
26,"Codeforces Round 709 (Div. 1, based on Technocup 2021 Final Round)",Mar/21/2021 16:20,181,4,29,2391,International Master
27,Codeforces Round 712 (Div. 1),Apr/03/2021 17:35,241,3,3,2394,International Master
28,Codeforces Round 715 (Div. 1),Apr/16/2021 17:35,331,2,-36,2358,International Master
29,Codeforces Global Round 14,May/02/2021 17:35,191,6,51,2409,Grandmaster
30,Codeforces Round 722 (Div. 1),May/24/2021 17:35,110,4,65,2474,Grandmaster
31,Codeforces Round 732 (Div. 1),Jul/11/2021 17:05,640,1,-107,2367,International Master
32,"Codeforces Round 733 (Div. 1 + Div. 2, based on VK Cup 2021 - Elimination (Engine))",Jul/17/2021 17:35,501,5,-38,2329,International Master
33,Codeforces Round 736 (Div. 1),Aug/01/2021 17:35,464,3,-30,2299,Master
34,Codeforces Global Round 16,Sep/12/2021 17:35,1142,5,-83,2216,Master
35,"Codeforces Round 749 (Div. 1 + Div. 2, based on Technocup 2022 Elimination Round 1)",Oct/17/2021 14:05,50,6,173,2389,International Master
36,Codeforces Round 751 (Div. 1),Oct/25/2021 09:35,172,3,-2,2387,International Master
37,Codeforces Round 752 (Div. 1),Oct/30/2021 17:35,141,3,60,2447,Grandmaster
38,"Codeforces Round 755 (Div. 1, based on Technocup 2022 Elimination Round 2)",Nov/14/2021 09:05,48,4,87,2534,Grandmaster
39,"Deltix Round, Autumn 2021 (open for everyone, rated, Div. 1 + Div. 2)",Nov/28/2021 17:35,60,6,87,2621,International Grandmaster
40,Good Bye 2021: 2022 is NEAR,Dec/29/2021 18:35,167,5,4,2625,International Grandmaster
41,Hello 2022,Jan/03/2022 17:35,265,5,-36,2589,Grandmaster
42,Codeforces Round 767 (Div. 1),Jan/22/2022 17:35,290,4,-57,2532,Grandmaster
43,Codeforces Global Round 19,Feb/12/2022 17:35,155,6,20,2552,Grandmaster
44,Codeforces Round 773 (Div. 1),Feb/23/2022 13:10,97,3,37,2589,Grandmaster
45,"Codeforces Round 775 (Div. 1, based on Moscow Open Olympiad in Informatics)",Mar/06/2022 12:55,188,3,-35,2554,Grandmaster
46,"Codeforces Round 778 (Div. 1 + Div. 2, based on Technocup 2022 Final Round)",Mar/20/2022 14:35,53,6,84,2638,International Grandmaster
47,Codeforces Round 783 (Div. 1),Apr/19/2022 17:35,34,4,97,2735,International Grandmaster
48,Codeforces Global Round 20,Apr/23/2022 17:05,221,6,-53,2682,International Grandmaster
49,"CodeTON Round 2 (Div. 1 + Div. 2, Rated, Prizes!)",Jul/31/2022 17:05,76,6,32,2714,International Grandmaster
50,Codeforces Global Round 22,Sep/30/2022 17:35,116,6,-11,2703,International Grandmaster
51,Dytechlab Cup 2022,Oct/07/2022 17:35,83,5,16,2719,International Grandmaster
52,Codeforces Global Round 23,Oct/15/2022 17:35,239,5,-51,2668,International Grandmaster
53,Codeforces Round 829 (Div. 1),Oct/23/2022 10:50,138,5,-21,2647,International Grandmaster
