#,Contest,Start time,Rank,Solved,Rating change,New rating,Title
1,Codeforces Round 429 (Div. 2),Aug/18/2017 18:05,2166,3,-29,1471,Specialist
2,AIM Tech Round 4 (Div. 2),Aug/24/2017 19:35,1815,2,-40,1431,Specialist
3,"Codeforces Round 432 (Div. 2, based on IndiaHacks Final Round 2017)",Sep/04/2017 17:35,1645,2,5,1436,Specialist
4,"Codeforces Round 433 (Div. 2, based on Olympiad of Metropolises)",Sep/06/2017 15:55,2043,2,-31,1405,Specialist
5,Codeforces Round 442 (Div. 2),Oct/23/2017 18:45,1003,2,65,1470,Specialist
6,Codeforces Round 443 (Div. 2),Oct/26/2017 17:45,1720,2,-8,1462,Specialist
7,Codeforces Round 447 (Div. 2),Nov/19/2017 16:55,198,3,148,1610,Expert
8,Educational Codeforces Round 33 (Rated for Div. 2),Nov/23/2017 18:05,732,3,-1,1609,Expert
9,Codeforces Round 450 (Div. 2),Dec/11/2017 19:05,919,2,-7,1602,Expert
10,Educational Codeforces Round 34 (Rated for Div. 2),Dec/12/2017 18:05,204,3,92,1694,Expert
11,Codeforces Round 453 (Div. 2),Dec/19/2017 18:35,1014,3,-23,1671,Expert
12,"Codeforces Round 454 (Div. 2, based on Technocup 2018 Elimination Round 4)",Dec/23/2017 17:05,1542,1,-48,1623,Expert
13,Good Bye 2017,Dec/29/2017 18:40,4393,2,-86,1537,Specialist
14,Hello 2018,Jan/08/2018 17:45,2077,2,14,1551,Specialist
15,Educational Codeforces Round 36 (Rated for Div. 2),Jan/13/2018 16:05,1754,2,-36,1515,Specialist
16,Codeforces Round 459 (Div. 2),Jan/29/2018 17:35,639,2,62,1577,Specialist
17,"ICM Technex 2018 and Codeforces Round 463 (Div. 1 + Div. 2, combined)",Feb/15/2018 17:35,1320,3,22,1599,Specialist
18,Educational Codeforces Round 38 (Rated for Div. 2),Feb/16/2018 18:05,711,3,20,1619,Expert
19,Educational Codeforces Round 45 (Rated for Div. 2),Jun/10/2018 13:05,762,4,32,1651,Expert
20,Codeforces Round 488 by NEAR (Div. 2),Jun/16/2018 19:35,462,3,28,1679,Expert
21,Codeforces Round 489 (Div. 2),Jun/18/2018 19:35,1274,2,-32,1647,Expert
22,Codeforces Round 491 (Div. 2),Jun/23/2018 18:35,1124,4,-3,1644,Expert
23,"Codeforces Round 492 (Div. 2) [Thanks, uDebug!]",Jun/24/2018 19:35,754,3,3,1647,Expert
24,Educational Codeforces Round 46 (Rated for Div. 2),Jun/27/2018 17:35,2601,1,-96,1551,Specialist
25,Codeforces Round 493 (Div. 2),Jul/01/2018 17:05,1591,2,-28,1523,Specialist
26,Codeforces Round 494 (Div. 3),Jul/03/2018 17:35,1822,2,-50,1473,Specialist
27,Codeforces Round 495 (Div. 2),Jul/05/2018 19:35,1431,3,2,1475,Specialist
28,Educational Codeforces Round 47 (Rated for Div. 2),Jul/14/2018 17:35,126,5,205,1680,Expert
29,Educational Codeforces Round 51 (Rated for Div. 2),Sep/20/2018 17:45,660,4,27,1707,Expert
