#,Contest,Start time,Rank,Solved,Rating change,New rating,Title
1,Technocup 2020 - Elimination Round 3,Nov/24/2019 11:05,445,2,2,1502,Specialist
2,Educational Codeforces Round 77 (Rated for Div. 2),Nov/27/2019 16:50,1423,3,38,1540,Specialist
3,Educational Codeforces Round 80 (Rated for Div. 2),Jan/14/2020 17:35,930,3,68,1608,Expert
4,Codeforces Round 614 (Div. 2),Jan/19/2020 16:35,4209,2,-78,1530,Specialist
5,Codeforces Round 644 (Div. 3),May/24/2020 16:35,4546,4,-54,1476,Specialist
6,Codeforces Round 653 (Div. 3),Jun/28/2020 17:35,155,5,149,1625,Expert
7,Codeforces Round 654 (Div. 2),Jul/01/2020 16:35,944,5,77,1702,Expert
8,Technocup 2021 - Elimination Round 1,Oct/25/2020 14:05,403,3,-17,1685,Expert
9,"Codeforces Round 687 (Div. 2, based on Technocup 2021 Elimination Round 2)",Nov/29/2020 10:05,676,3,15,1700,Expert
10,Codeforces Global Round 13,Feb/28/2021 16:35,941,4,104,1804,Expert
11,Технокубок 2021 - Финал,Mar/21/2021 13:20,308,3,-15,1789,Expert
12,Educational Codeforces Round 107 (Rated for Div. 2),Apr/12/2021 17:35,2304,3,-60,1729,Expert
13,Codeforces Round 715 (Div. 2),Apr/16/2021 17:35,173,4,105,1834,Expert
14,Codeforces Round 716 (Div. 2),Apr/19/2021 16:35,1293,3,-33,1801,Expert
15,Codeforces Round 727 (Div. 2),Jun/20/2021 13:05,425,4,47,1848,Expert
16,Codeforces Round 728 (Div. 2),Jun/25/2021 18:35,724,3,-11,1837,Expert
17,Codeforces Round 729 (Div. 2),Jul/03/2021 16:05,1468,3,-26,1811,Expert
18,Codeforces Round 730 (Div. 2),Jul/07/2021 17:35,325,4,73,1884,Expert
19,Codeforces Round 732 (Div. 2),Jul/11/2021 17:05,1615,3,-58,1826,Expert
20,Educational Codeforces Round 111 (Rated for Div. 2),Jul/14/2021 17:35,1920,3,-38,1788,Expert
21,Codeforces Round 736 (Div. 2),Aug/01/2021 17:35,1326,3,-24,1764,Expert
22,Codeforces Round 737 (Div. 2),Aug/09/2021 17:35,3832,2,-81,1683,Expert
23,Codeforces Round 738 (Div. 2),Aug/15/2021 17:35,980,4,47,1730,Expert
24,"Deltix Round, Summer 2021 (open for everyone, rated, Div. 1 + Div. 2)",Aug/29/2021 17:35,680,5,112,1842,Expert
25,Codeforces Round 742 (Div. 2),Sep/05/2021 17:35,1763,3,-48,1794,Expert
26,Educational Codeforces Round 113 (Rated for Div. 2),Sep/08/2021 17:35,1919,3,-45,1749,Expert
27,Educational Codeforces Round 115 (Rated for Div. 2),Oct/10/2021 12:05,296,4,73,1822,Expert
28,Technocup 2022 - Elimination Round 1,Oct/17/2021 14:05,103,4,32,1854,Expert
29,Codeforces Round 752 (Div. 2),Oct/30/2021 17:35,49,4,121,1975,Candidate Master
30,Codeforces Round 754 (Div. 2),Nov/12/2021 17:35,794,3,-37,1938,Candidate Master
31,"Codeforces Round 755 (Div. 1, based on Technocup 2022 Elimination Round 2)",Nov/14/2021 09:05,501,1,-32,1906,Candidate Master
32,Codeforces Global Round 17,Nov/23/2021 17:35,747,4,35,1941,Candidate Master
33,"Deltix Round, Autumn 2021 (open for everyone, rated, Div. 1 + Div. 2)",Nov/28/2021 17:35,807,4,20,1961,Candidate Master
34,Educational Codeforces Round 118 (Rated for Div. 2),Dec/01/2021 17:35,289,4,31,1992,Candidate Master
35,"Codeforces Round 759 (Div. 2, based on Technocup 2022 Elimination Round 3)",Dec/12/2021 18:15,236,4,14,2006,Candidate Master
36,Codeforces Round 761 (Div. 2),Dec/16/2021 16:35,470,4,-18,1988,Candidate Master
37,Educational Codeforces Round 119 (Rated for Div. 2),Dec/18/2021 18:35,46,5,108,2096,Candidate Master
38,Codeforces Global Round 18,Dec/24/2021 17:35,1107,3,-40,2056,Candidate Master
39,Educational Codeforces Round 120 (Rated for Div. 2),Dec/27/2021 17:35,595,3,-34,2022,Candidate Master
40,Hello 2022,Jan/03/2022 17:35,651,4,41,2063,Candidate Master
41,Codeforces Round 769 (Div. 2),Jan/30/2022 17:35,471,4,-11,2052,Candidate Master
42,Codeforces Round 770 (Div. 2),Feb/06/2022 17:35,85,4,83,2135,Master
43,Codeforces Global Round 19,Feb/12/2022 17:35,1385,4,-63,2072,Candidate Master
44,Технокубок 2022 - Финал,Mar/20/2022 11:15,183,3,-47,2025,Candidate Master
45,Educational Codeforces Round 133 (Rated for Div. 2),Aug/04/2022 17:35,247,4,31,2056,Candidate Master
46,Educational Codeforces Round 134 (Rated for Div. 2),Aug/27/2022 17:35,22,5,133,2189,Master
47,Dytechlab Cup 2022,Oct/07/2022 17:35,803,3,-45,2144,Master
