#,Contest,Start time,Rank,Solved,Rating change,New rating,Title
1,Codeforces Round 481 (Div. 3),May/13/2018 12:05,3583,0,-128,1372,Pupil
2,"Codeforces Round 504 (rated, Div. 1 + Div. 2, based on VK Cup 2018 Final)",Aug/17/2018 17:35,4029,1,-52,1320,Pupil
3,Codeforces Round 514 (Div. 2),Oct/05/2018 17:35,3427,1,-37,1283,Pupil
4,Codeforces Round 515 (Div. 3),Oct/12/2018 17:35,1095,2,63,1346,Pupil
5,Codeforces Round 525 (Div. 2),Dec/04/2018 17:35,1165,3,84,1430,Specialist
6,Codeforces Round 526 (Div. 2),Dec/10/2018 19:35,777,3,54,1484,Specialist
7,Educational Codeforces Round 56 (Rated for Div. 2),Dec/15/2018 17:35,791,4,66,1550,Specialist
8,Codeforces Round 527 (Div. 3),Dec/18/2018 17:35,118,3,110,1660,Expert
9,Hello 2019,Jan/04/2019 17:45,2274,3,-7,1653,Expert
10,Codeforces Round 530 (Div. 2),Jan/05/2019 19:35,1661,3,-36,1617,Expert
11,Educational Codeforces Round 58 (Rated for Div. 2),Jan/11/2019 17:35,1724,3,-15,1602,Expert
12,Codeforces Round 533 (Div. 2),Jan/20/2019 15:05,1697,3,-9,1593,Specialist
13,Codeforces Round 535 (Div. 3),Jan/23/2019 17:35,727,4,14,1607,Expert
14,Codeforces Round 541 (Div. 2),Feb/23/2019 13:20,1242,3,11,1618,Expert
15,Educational Codeforces Round 62 (Rated for Div. 2),Mar/22/2019 18:05,1533,3,-16,1602,Expert
16,Codeforces Round 558 (Div. 2),May/09/2019 18:05,2630,1,-87,1515,Specialist
17,Educational Codeforces Round 65 (Rated for Div. 2),May/15/2019 17:35,1155,4,35,1550,Specialist
18,Codeforces Round 561 (Div. 2),May/17/2019 18:05,299,4,129,1679,Expert
19,Codeforces Round 562 (Div. 2),May/26/2019 18:35,426,3,42,1721,Expert
20,Codeforces Global Round 3,Jun/01/2019 17:35,1331,3,3,1724,Expert
21,Codeforces Round 563 (Div. 2),Jun/03/2019 17:05,1493,3,-34,1690,Expert
22,Educational Codeforces Round 66 (Rated for Div. 2),Jun/05/2019 17:35,881,3,21,1711,Expert
23,Codeforces Round 564 (Div. 2),Jun/07/2019 15:05,769,3,2,1713,Expert
24,Codeforces Round 566 (Div. 2),Jun/11/2019 16:05,539,3,48,1761,Expert
25,Codeforces Round 567 (Div. 2),Jun/16/2019 12:35,1720,1,-61,1700,Expert
26,Codeforces Round 568 (Div. 2),Jun/19/2019 17:45,613,5,40,1740,Expert
27,Codeforces Round 569 (Div. 2),Jun/21/2019 20:05,80,4,107,1847,Expert
28,Educational Codeforces Round 67 (Rated for Div. 2),Jun/30/2019 17:45,430,3,19,1866,Expert
29,Codeforces Round 572 (Div. 2),Jul/05/2019 18:05,120,4,62,1928,Candidate Master
30,Codeforces Round 573 (Div. 1),Jul/12/2019 17:35,512,2,-20,1908,Candidate Master
31,Educational Codeforces Round 68 (Rated for Div. 2),Jul/14/2019 17:45,1367,3,-64,1844,Expert
32,Codeforces Round 574 (Div. 2),Jul/17/2019 17:35,618,5,9,1853,Expert
