#,Contest,Start time,Rank,Solved,Rating change,New rating,Title
1,Codeforces LATOKEN Round 1 (Div. 1 + Div. 2),Jun/13/2021 18:35,4489,2,453,453,Newbie
2,Codeforces Round 730 (Div. 2),Jul/07/2021 17:35,1460,3,453,906,Newbie
3,Codeforces Round 732 (Div. 2),Jul/11/2021 17:05,2583,2,260,1166,Newbie
4,Educational Codeforces Round 111 (Rated for Div. 2),Jul/14/2021 17:35,4341,2,130,1296,Pupil
5,"Codeforces Round 733 (Div. 1 + Div. 2, based on VK Cup 2021 - Elimination (Engine))",Jul/17/2021 17:35,937,4,249,1545,Specialist
6,"Harbour.Space Scholarship Contest 2021-2022 (open for everyone, rated, Div. 1 + Div. 2)",Jul/22/2021 17:35,915,4,159,1704,Expert
7,Codeforces Global Round 15,Jul/25/2021 17:35,1196,4,62,1766,Expert
8,Codeforces Round 735 (Div. 2),Jul/29/2021 17:35,626,3,48,1814,Expert
9,Educational Codeforces Round 112 (Rated for Div. 2),Jul/30/2021 17:35,577,4,40,1854,Expert
10,Codeforces Round 737 (Div. 2),Aug/09/2021 17:35,2175,3,-57,1797,Expert
11,"Codeforces Round 740 (Div. 2, based on VK Cup 2021 - Final (Engine))",Aug/24/2021 17:35,111,5,110,1907,Candidate Master
12,Codeforces Round 741 (Div. 2),Aug/26/2021 17:35,289,4,51,1958,Candidate Master
13,"Deltix Round, Summer 2021 (open for everyone, rated, Div. 1 + Div. 2)",Aug/29/2021 17:35,1224,4,-8,1950,Candidate Master
14,Codeforces Round 742 (Div. 2),Sep/05/2021 17:35,484,4,10,1960,Candidate Master
15,Codeforces Global Round 16,Sep/12/2021 17:35,644,6,53,2013,Candidate Master
16,Codeforces Round 746 (Div. 2),Oct/03/2021 17:35,1277,2,-72,1941,Candidate Master
17,Codeforces Round 747 (Div. 2),Oct/08/2021 18:05,233,5,39,1980,Candidate Master
18,Educational Codeforces Round 115 (Rated for Div. 2),Oct/10/2021 12:05,84,5,82,2062,Candidate Master
19,"Codeforces Round 749 (Div. 1 + Div. 2, based on Technocup 2022 Elimination Round 1)",Oct/17/2021 14:05,1453,3,-70,1992,Candidate Master
20,Codeforces Round 750 (Div. 2),Oct/24/2021 13:05,274,6,16,2008,Candidate Master
21,Codeforces Round 752 (Div. 1),Oct/30/2021 17:35,718,2,-18,1990,Candidate Master
22,Codeforces Round 754 (Div. 2),Nov/12/2021 17:35,234,4,31,2021,Candidate Master
23,"Codeforces Round 755 (Div. 1, based on Technocup 2022 Elimination Round 2)",Nov/14/2021 09:05,338,2,26,2047,Candidate Master
24,Codeforces Round 757 (Div. 2),Nov/26/2021 14:15,1875,3,-112,1935,Candidate Master
25,"Deltix Round, Autumn 2021 (open for everyone, rated, Div. 1 + Div. 2)",Nov/28/2021 17:35,931,4,6,1941,Candidate Master
26,Codeforces Round 758 (Div.1 + Div. 2),Dec/11/2021 13:05,585,3,31,1972,Candidate Master
27,Educational Codeforces Round 119 (Rated for Div. 2),Dec/18/2021 18:35,1610,2,-86,1886,Expert
28,Codeforces Global Round 18,Dec/24/2021 17:35,1933,3,-43,1843,Expert
29,Educational Codeforces Round 120 (Rated for Div. 2),Dec/27/2021 17:35,714,3,8,1851,Expert
30,Codeforces Round 763 (Div. 2),Dec/28/2021 16:35,142,4,96,1947,Candidate Master
31,Good Bye 2021: 2022 is NEAR,Dec/29/2021 18:35,315,5,132,2079,Candidate Master
32,Hello 2022,Jan/03/2022 17:35,634,4,29,2108,Master
33,Codeforces Round 789 (Div. 1),May/08/2022 17:35,639,2,-56,2052,Candidate Master
34,Codeforces Round 791 (Div. 2),May/14/2022 12:35,782,3,-62,1990,Candidate Master
35,Codeforces Round 793 (Div. 2),May/22/2022 17:35,193,4,41,2031,Candidate Master
36,Educational Codeforces Round 130 (Rated for Div. 2),Jun/12/2022 17:35,70,4,75,2106,Master
37,Codeforces Global Round 21,Jun/25/2022 17:35,320,5,79,2185,Master
38,Codeforces Round 814 (Div. 1),Aug/16/2022 17:35,623,2,-61,2124,Master
39,Codeforces Global Round 23,Oct/15/2022 17:35,78,6,194,2318,International Master
40,"CodeTON Round 3 (Div. 1 + Div. 2, Rated, Prizes!)",Nov/06/2022 17:35,426,4,-17,2301,International Master
41,Pinely Round 1 (Div. 1 + Div. 2),Nov/20/2022 17:35,611,4,-51,2250,Master
42,Codeforces Global Round 24,Nov/26/2022 17:05,181,5,64,2314,International Master
43,Good Bye 2022: 2023 is NEAR,Dec/30/2022 17:35,495,4,5,2319,International Master
44,"Codeforces Round 844 (Div. 1 + Div. 2, based on VK Cup 2022 - Elimination Round)",Jan/15/2023 15:05,195,5,48,2367,International Master
