#,Contest,Start time,Rank,Solved,Rating change,New rating,Title
1,Codeforces Round 580 (Div. 2),Aug/18/2019 16:45,6391,1,-110,1390,Pupil
2,Codeforces Round 629 (Div. 3),Mar/26/2020 17:35,4477,3,6,1396,Pupil
3,Codeforces Round 640 (Div. 4),May/09/2020 17:35,526,5,110,1506,Specialist
4,Codeforces Round 642 (Div. 3),May/14/2020 17:35,2204,4,17,1523,Specialist
5,Codeforces Round 644 (Div. 3),May/24/2020 16:35,508,6,82,1605,Expert
6,Educational Codeforces Round 88 (Rated for Div. 2),May/28/2020 17:35,890,4,97,1702,Expert
7,Codeforces Round 646 (Div. 2),May/31/2020 17:35,1755,3,30,1732,Expert
8,"Codeforces Round 647 (Div. 2) - Thanks, Algo Muse!",Jun/04/2020 17:35,484,4,72,1804,Expert
9,Educational Codeforces Round 89 (Rated for Div. 2),Jun/11/2020 17:35,407,4,82,1886,Expert
10,Codeforces Global Round 8,Jun/18/2020 17:45,2000,4,-9,1877,Expert
11,Codeforces Round 651 (Div. 2),Jun/20/2020 17:35,1732,3,-28,1849,Expert
12,Codeforces Round 652 (Div. 2),Jun/23/2020 17:05,1103,4,4,1853,Expert
13,Educational Codeforces Round 90 (Rated for Div. 2),Jun/25/2020 17:35,2533,4,-58,1795,Expert
14,Codeforces Round 658 (Div. 2),Jul/21/2020 17:35,985,4,12,1807,Expert
15,Codeforces Round 659 (Div. 2),Jul/24/2020 17:35,767,2,35,1842,Expert
16,Educational Codeforces Round 92 (Rated for Div. 2),Jul/29/2020 17:35,2820,3,-50,1792,Expert
17,Codeforces Round 660 (Div. 2),Jul/30/2020 17:35,365,4,91,1883,Expert
18,Codeforces Round 663 (Div. 2),Aug/09/2020 17:35,496,4,41,1924,Candidate Master
19,Educational Codeforces Round 93 (Rated for Div. 2),Aug/14/2020 17:35,548,4,27,1951,Candidate Master
20,Codeforces Round 668 (Div. 1),Sep/06/2020 17:35,826,2,-14,1937,Candidate Master
21,Codeforces Round 671 (Div. 2),Sep/19/2020 17:35,1818,4,-63,1874,Expert
22,Good Bye 2020,Dec/30/2020 17:35,2131,5,-15,1859,Expert
23,Codeforces Round 695 (Div. 2),Jan/08/2021 17:35,835,3,15,1874,Expert
24,Educational Codeforces Round 102 (Rated for Div. 2),Jan/14/2021 17:35,2794,3,-84,1790,Expert
25,Codeforces Round 698 (Div. 2),Jan/28/2021 17:35,320,4,64,1854,Expert
26,Codeforces Round 699 (Div. 2),Feb/05/2021 17:35,282,4,75,1929,Candidate Master
27,Codeforces Round 700 (Div. 1),Feb/07/2021 17:35,912,1,-36,1893,Expert
28,Codeforces Round 701 (Div. 2),Feb/12/2021 17:50,236,4,79,1972,Candidate Master
29,Educational Codeforces Round 104 (Rated for Div. 2),Feb/15/2021 17:35,101,5,95,2067,Candidate Master
30,Codeforces Round 703 (Div. 2),Feb/18/2021 17:35,369,5,9,2076,Candidate Master
31,Codeforces Global Round 13,Feb/28/2021 16:35,1967,3,-69,2007,Candidate Master
32,Codeforces Round 705 (Div. 2),Mar/06/2021 17:05,385,3,6,2013,Candidate Master
33,Codeforces Round 706 (Div. 1),Mar/10/2021 15:05,586,2,27,2040,Candidate Master
34,Educational Codeforces Round 106 (Rated for Div. 2),Mar/18/2021 17:50,1343,3,-81,1959,Candidate Master
35,"Codeforces Round 709 (Div. 1, based on Technocup 2021 Final Round)",Mar/21/2021 16:20,765,1,-43,1916,Candidate Master
36,Codeforces Round 722 (Div. 1),May/24/2021 17:35,437,3,80,1996,Candidate Master
37,Codeforces Round 723 (Div. 2),May/28/2021 17:05,137,5,72,2068,Candidate Master
38,"Deltix Round, Spring 2021 (open for everyone, rated, Div. 1 + Div. 2)",May/30/2021 17:35,1380,3,-46,2022,Candidate Master
39,Codeforces Round 724 (Div. 2),Jun/06/2021 17:35,333,4,12,2034,Candidate Master
40,Codeforces LATOKEN Round 1 (Div. 1 + Div. 2),Jun/13/2021 18:35,675,4,11,2045,Candidate Master
41,Codeforces Round 727 (Div. 2),Jun/20/2021 13:05,757,4,-50,1995,Candidate Master
42,Codeforces Round 728 (Div. 1),Jun/25/2021 18:35,315,2,65,2060,Candidate Master
43,Codeforces Round 732 (Div. 1),Jul/11/2021 17:05,547,2,3,2063,Candidate Master
44,Educational Codeforces Round 111 (Rated for Div. 2),Jul/14/2021 17:35,1567,3,-79,1984,Candidate Master
45,"Harbour.Space Scholarship Contest 2021-2022 (open for everyone, rated, Div. 1 + Div. 2)",Jul/22/2021 17:35,900,4,8,1992,Candidate Master
46,Codeforces Global Round 15,Jul/25/2021 17:35,1591,3,-40,1952,Candidate Master
47,Codeforces Round 813 (Div. 2),Aug/13/2022 17:35,54,5,134,2086,Candidate Master
48,Codeforces Round 814 (Div. 1),Aug/16/2022 17:35,626,2,-42,2044,Candidate Master
49,Codeforces Round 815 (Div. 2),Aug/18/2022 16:35,45,5,111,2155,Master
50,Codeforces Round 829 (Div. 1),Oct/23/2022 10:50,449,4,3,2158,Master
