#,Contest,Start time,Rank,Solved,Rating change,New rating,Title
1,Codeforces Round 753 (Div. 3),Nov/02/2021 17:35,13,7,777,777,Newbie
2,Codeforces Round 754 (Div. 2),Nov/12/2021 17:35,137,4,504,1281,Pupil
3,Codeforces Round 764 (Div. 3),Jan/10/2022 17:35,118,6,312,1593,Specialist
4,Codeforces Round 766 (Div. 2),Jan/15/2022 17:35,312,4,194,1787,Expert
5,Codeforces Round 772 (Div. 2),Feb/20/2022 17:35,58,5,213,2000,Candidate Master
6,Educational Codeforces Round 123 (Rated for Div. 2),Feb/22/2022 17:35,1343,4,-35,1965,Candidate Master
7,Codeforces Round 773 (Div. 1),Feb/23/2022 13:10,878,0,-88,1877,Expert
8,Educational Codeforces Round 124 (Rated for Div. 2),Mar/10/2022 17:35,106,4,98,1975,Candidate Master
9,Educational Codeforces Round 125 (Rated for Div. 2),Mar/22/2022 17:45,45,5,122,2097,Candidate Master
10,"CodeTON Round 1 (Div. 1 + Div. 2, Rated, Prizes!)",Mar/24/2022 17:35,275,5,94,2191,Master
11,Codeforces Round 783 (Div. 1),Apr/19/2022 17:35,516,2,-34,2157,Master
12,Codeforces Global Round 20,Apr/23/2022 17:05,80,7,184,2341,International Master
13,Codeforces Global Round 23,Oct/15/2022 17:35,584,4,-29,2312,International Master
14,Hello 2023,Jan/03/2023 17:35,405,5,9,2321,International Master
15,"Codeforces Round 844 (Div. 1 + Div. 2, based on VK Cup 2022 - Elimination Round)",Jan/15/2023 15:05,736,4,-64,2257,Master
