#,Contest,Start time,Rank,Solved,Rating change,New rating,Title
1,Codeforces Round 614 (Div. 2),Jan/19/2020 16:35,6484,0,-129,1371,Pupil
2,Codeforces Round 616 (Div. 2),Feb/02/2020 17:05,1167,3,108,1479,Specialist
3,Codeforces Round 620 (Div. 2),Feb/15/2020 16:05,1347,4,79,1558,Specialist
4,Codeforces Round 628 (Div. 2),Mar/14/2020 17:35,2642,3,4,1562,Specialist
5,Codeforces Round 630 (Div. 2),Mar/31/2020 16:35,1732,4,68,1630,Expert
6,"Codeforces Round 631 (Div. 2) - Thanks, Denis aramis Shitov!",Apr/03/2020 17:35,2357,2,4,1634,Expert
7,Codeforces Round 632 (Div. 2),Apr/08/2020 17:35,2183,3,29,1663,Expert
8,Codeforces Round 635 (Div. 2),Apr/15/2020 17:35,846,4,68,1731,Expert
9,"Codeforces Round 637 (Div. 2) - Thanks, Ivan Belonogov!",Apr/23/2020 17:45,794,4,57,1788,Expert
10,Codeforces Round 638 (Div. 2),May/01/2020 17:35,2360,3,-13,1775,Expert
11,Codeforces Round 641 (Div. 2),May/12/2020 15:35,1395,3,-1,1774,Expert
12,Codeforces Round 643 (Div. 2),May/16/2020 14:35,7269,1,-109,1665,Expert
13,Codeforces Round 645 (Div. 2),May/26/2020 17:35,5045,2,-53,1612,Expert
14,Educational Codeforces Round 88 (Rated for Div. 2),May/28/2020 17:35,1812,3,43,1655,Expert
15,"Codeforces Round 647 (Div. 2) - Thanks, Algo Muse!",Jun/04/2020 17:35,1439,4,28,1683,Expert
16,Educational Codeforces Round 89 (Rated for Div. 2),Jun/11/2020 17:35,675,4,87,1770,Expert
17,Codeforces Global Round 8,Jun/18/2020 17:45,1840,4,29,1799,Expert
18,Educational Codeforces Round 90 (Rated for Div. 2),Jun/25/2020 17:35,2517,4,-45,1754,Expert
19,Codeforces Round 654 (Div. 2),Jul/01/2020 16:35,2192,4,-20,1734,Expert
20,Codeforces Global Round 9,Jul/04/2020 17:45,2289,3,21,1755,Expert
21,Codeforces Round 657 (Div. 2),Jul/19/2020 12:00,437,3,103,1858,Expert
22,Codeforces Round 658 (Div. 2),Jul/21/2020 17:35,586,4,23,1881,Expert
23,Codeforces Round 659 (Div. 2),Jul/24/2020 17:35,350,3,59,1940,Candidate Master
24,Educational Codeforces Round 92 (Rated for Div. 2),Jul/29/2020 17:35,2158,3,-54,1886,Expert
25,Codeforces Round 662 (Div. 2),Aug/07/2020 17:35,574,3,37,1923,Candidate Master
26,Grakn Forces 2020,Sep/30/2020 17:35,1220,3,6,1929,Candidate Master
27,Codeforces Raif Round 1 (Div. 1 + Div. 2),Oct/17/2020 16:05,1243,4,3,1932,Candidate Master
28,Codeforces Round 685 (Div. 2),Nov/21/2020 17:35,1688,4,-56,1876,Expert
29,Codeforces Round 698 (Div. 2),Jan/28/2021 17:35,985,3,-22,1854,Expert
30,Codeforces Round 700 (Div. 2),Feb/07/2021 17:35,243,4,64,1918,Candidate Master
31,Codeforces Round 703 (Div. 2),Feb/18/2021 17:35,268,5,66,1984,Candidate Master
32,"Codeforces Round 709 (Div. 1, based on Technocup 2021 Final Round)",Mar/21/2021 16:20,857,0,-88,1896,Expert
33,Codeforces Round 729 (Div. 2),Jul/03/2021 16:05,75,4,136,2032,Candidate Master
34,Codeforces Round 750 (Div. 2),Oct/24/2021 13:05,2295,3,-128,1904,Candidate Master
35,Codeforces Round 752 (Div. 1),Oct/30/2021 17:35,811,2,-20,1884,Expert
36,"Codeforces Round 759 (Div. 2, based on Technocup 2022 Elimination Round 3)",Dec/12/2021 18:15,43,5,137,2021,Candidate Master
37,Educational Codeforces Round 119 (Rated for Div. 2),Dec/18/2021 18:35,71,5,77,2098,Candidate Master
38,Codeforces Round 768 (Div. 1),Jan/27/2022 17:35,604,2,-34,2064,Candidate Master
39,Codeforces Round 770 (Div. 2),Feb/06/2022 17:35,145,4,51,2115,Master
40,Codeforces Round 773 (Div. 1),Feb/23/2022 13:10,460,2,6,2121,Master
41,"Codeforces Round 778 (Div. 1 + Div. 2, based on Technocup 2022 Final Round)",Mar/20/2022 14:35,3867,2,-191,1930,Candidate Master
42,"CodeTON Round 1 (Div. 1 + Div. 2, Rated, Prizes!)",Mar/24/2022 17:35,1395,4,-11,1919,Candidate Master
43,Codeforces Round 779 (Div. 2),Mar/27/2022 17:35,1630,3,-73,1846,Expert
44,Codeforces Round 781 (Div. 2),Apr/08/2022 17:35,1305,3,-46,1800,Expert
45,Educational Codeforces Round 126 (Rated for Div. 2),Apr/09/2022 17:35,686,3,13,1813,Expert
46,Codeforces Global Round 20,Apr/23/2022 17:05,731,5,70,1883,Expert
47,Codeforces Round 788 (Div. 2),May/06/2022 17:35,31,5,159,2042,Candidate Master
48,Codeforces Round 789 (Div. 1),May/08/2022 17:35,305,3,67,2109,Master
49,Codeforces Global Round 21,Jun/25/2022 17:35,537,5,31,2140,Master
50,Codeforces Global Round 22,Sep/30/2022 17:35,341,5,56,2196,Master
51,Codeforces Round 829 (Div. 1),Oct/23/2022 10:50,329,4,26,2222,Master
52,"CodeTON Round 3 (Div. 1 + Div. 2, Rated, Prizes!)",Nov/06/2022 17:35,123,5,107,2329,International Master
53,"Codeforces Round 844 (Div. 1 + Div. 2, based on VK Cup 2022 - Elimination Round)",Jan/15/2023 15:05,31,6,181,2510,Grandmaster
