#,Contest,Start time,Rank,Solved,Rating change,New rating,Title
1,Codeforces Round 615 (Div. 3),Jan/22/2020 17:35,6602,1,-86,1414,Specialist
2,Educational Codeforces Round 81 (Rated for Div. 2),Jan/29/2020 17:35,6017,1,-57,1357,Pupil
3,Codeforces Round 617 (Div. 3),Feb/04/2020 17:35,4489,2,-22,1335,Pupil
4,Educational Codeforces Round 90 (Rated for Div. 2),Jun/25/2020 17:35,10933,0,-130,1205,Pupil
5,Codeforces Round 684 (Div. 2),Nov/17/2020 17:35,3645,2,26,1231,Pupil
6,Codeforces Round 685 (Div. 2),Nov/21/2020 17:35,3554,3,56,1287,Pupil
7,Codeforces Round 686 (Div. 3),Nov/24/2020 17:35,919,4,100,1387,Pupil
8,Codeforces Round 808 (Div. 2),Jul/16/2022 17:35,2654,2,33,1420,Specialist
9,Codeforces Round 809 (Div. 2),Jul/18/2022 17:35,4248,3,-16,1404,Specialist
10,Educational Codeforces Round 132 (Rated for Div. 2),Jul/21/2022 17:35,195,4,225,1629,Expert
11,Codeforces Round 810 (Div. 2),Jul/24/2022 17:35,542,3,70,1699,Expert
12,"CodeTON Round 2 (Div. 1 + Div. 2, Rated, Prizes!)",Jul/31/2022 17:05,4709,3,-93,1606,Expert
13,Educational Codeforces Round 133 (Rated for Div. 2),Aug/04/2022 17:35,1637,2,16,1622,Expert
14,Codeforces Round 812 (Div. 2),Aug/06/2022 17:35,1684,3,11,1633,Expert
15,Codeforces Round 813 (Div. 2),Aug/13/2022 17:35,1591,3,21,1654,Expert
16,Codeforces Round 814 (Div. 2),Aug/16/2022 17:35,675,3,48,1702,Expert
17,Codeforces Round 816 (Div. 2),Aug/20/2022 17:35,1053,3,21,1723,Expert
18,Educational Codeforces Round 134 (Rated for Div. 2),Aug/27/2022 17:35,1604,3,-21,1702,Expert
19,Codeforces Global Round 23,Oct/15/2022 17:35,1035,4,76,1778,Expert
20,Educational Codeforces Round 137 (Rated for Div. 2),Oct/17/2022 17:35,820,4,14,1792,Expert
21,Educational Codeforces Round 138 (Rated for Div. 2),Oct/20/2022 17:35,441,4,44,1836,Expert
22,Codeforces Round 829 (Div. 2),Oct/23/2022 10:50,233,5,50,1886,Expert
23,Codeforces Round 830 (Div. 2),Oct/23/2022 13:05,205,5,61,1947,Candidate Master
24,Codeforces Round 832 (Div. 2),Nov/04/2022 17:35,446,4,6,1953,Candidate Master
25,"CodeTON Round 3 (Div. 1 + Div. 2, Rated, Prizes!)",Nov/06/2022 17:35,649,4,40,1993,Candidate Master
26,Codeforces Round 833 (Div. 2),Nov/12/2022 17:35,330,4,5,1998,Candidate Master
27,Pinely Round 1 (Div. 1 + Div. 2),Nov/20/2022 17:35,673,4,15,2013,Candidate Master
28,Codeforces Round 836 (Div. 2),Nov/25/2022 18:35,593,4,-34,1979,Candidate Master
29,Codeforces Global Round 24,Nov/26/2022 17:05,2964,2,-141,1838,Expert
30,Codeforces Round 837 (Div. 2),Dec/11/2022 18:35,130,4,107,1945,Candidate Master
31,Educational Codeforces Round 139 (Rated for Div. 2),Dec/12/2022 17:35,160,4,57,2002,Candidate Master
32,Codeforces Round 838 (Div. 2),Dec/15/2022 17:35,443,3,-10,1992,Candidate Master
33,Educational Codeforces Round 140 (Rated for Div. 2),Dec/16/2022 17:35,104,4,75,2067,Candidate Master
34,"Polynomial Round 2022 (Div. 1 + Div. 2, Rated, Prizes!)",Dec/17/2022 17:35,937,4,-26,2041,Candidate Master
35,Codeforces Round 840 (Div. 2) and Enigma 2022 - Cybros LNMIIT,Dec/19/2022 17:35,42,4,104,2145,Master
36,Good Bye 2022: 2023 is NEAR,Dec/30/2022 17:35,1524,3,-50,2095,Candidate Master
37,Hello 2023,Jan/03/2023 17:35,410,5,65,2160,Master
