#,Contest,Start time,Rank,Solved,Rating change,New rating,Title
1,"Codeforces Round 512 (Div. 2, based on Technocup 2019 Elimination Round 1)",Sep/23/2018 16:05,1834,3,-31,1469,Specialist
2,"Codeforces Round 513 by Barcelona Bootcamp (rated, Div. 1 + Div. 2)",Oct/04/2018 10:05,1617,2,10,1479,Specialist
3,Codeforces Global Round 1,Feb/07/2019 16:35,3826,2,-28,1451,Specialist
4,Codeforces Round 538 (Div. 2),Feb/10/2019 17:05,2838,2,-7,1444,Specialist
5,Codeforces Global Round 2,Apr/06/2019 14:35,2013,3,37,1481,Specialist
6,Codeforces Round 590 (Div. 3),Oct/01/2019 17:35,550,5,73,1554,Specialist
7,Codeforces Round 820 (Div. 3),Sep/12/2022 17:35,422,5,65,1619,Expert
8,Codeforces Round 821 (Div. 2),Sep/19/2022 17:35,1861,4,-9,1610,Expert
9,Codeforces Round 822 (Div. 2),Sep/23/2022 15:05,301,4,123,1733,Expert
10,Codeforces Round 823 (Div. 2),Sep/25/2022 17:35,493,3,54,1787,Expert
11,Educational Codeforces Round 136 (Rated for Div. 2),Sep/29/2022 17:35,247,4,74,1861,Expert
12,Codeforces Global Round 22,Sep/30/2022 17:35,2702,2,-80,1781,Expert
13,Codeforces Round 825 (Div. 2),Oct/10/2022 17:35,81,4,147,1928,Candidate Master
14,Codeforces Round 830 (Div. 2),Oct/23/2022 13:05,335,4,19,1947,Candidate Master
15,Codeforces Round 832 (Div. 2),Nov/04/2022 17:35,730,3,-22,1925,Candidate Master
16,Codeforces Round 833 (Div. 2),Nov/12/2022 17:35,126,4,77,2002,Candidate Master
17,Pinely Round 1 (Div. 1 + Div. 2),Nov/20/2022 17:35,129,5,160,2162,Master
18,Hello 2023,Jan/03/2023 17:35,422,5,44,2206,Master
19,"TypeDB Forces 2023 (Div. 1 + Div. 2, Rated, Prizes!)",Jan/29/2023 17:35,225,5,78,2284,Master
