#,Contest,Start time,Rank,Solved,Rating change,New rating,Title
1,Codeforces Round 488 by NEAR (Div. 2),Jun/16/2018 19:35,3738,0,-129,1371,Pupil
2,Codeforces Round 489 (Div. 2),Jun/18/2018 19:35,3472,1,-80,1291,Pupil
3,Codeforces Round 491 (Div. 2),Jun/23/2018 18:35,2113,2,33,1324,Pupil
4,"Codeforces Round 492 (Div. 2) [Thanks, uDebug!]",Jun/24/2018 19:35,1343,3,48,1372,Pupil
5,Educational Codeforces Round 46 (Rated for Div. 2),Jun/27/2018 17:35,1129,2,59,1431,Specialist
6,Codeforces Round 493 (Div. 2),Jul/01/2018 17:05,1499,2,8,1439,Specialist
7,Codeforces Round 494 (Div. 3),Jul/03/2018 17:35,2346,2,-52,1387,Pupil
8,Codeforces Round 495 (Div. 2),Jul/05/2018 19:35,455,3,132,1519,Specialist
9,Codeforces Round 496 (Div. 3),Jul/09/2018 18:35,646,4,14,1533,Specialist
10,Codeforces Round 497 (Div. 2),Jul/13/2018 17:35,1980,3,-33,1500,Specialist
11,Educational Codeforces Round 47 (Rated for Div. 2),Jul/14/2018 17:35,2428,1,-56,1444,Specialist
12,Codeforces Round 498 (Div. 3),Jul/16/2018 17:35,390,4,75,1519,Specialist
13,Codeforces Round 499 (Div. 2),Jul/26/2018 18:05,315,4,115,1634,Expert
14,Educational Codeforces Round 48 (Rated for Div. 2),Aug/03/2018 17:45,385,4,87,1721,Expert
15,"Codeforces Round 503 (by SIS, Div. 2)",Aug/11/2018 16:35,2342,2,-82,1639,Expert
16,Educational Codeforces Round 49 (Rated for Div. 2),Aug/18/2018 17:35,661,4,54,1693,Expert
17,"Codeforces Round 505 (rated, Div. 1 + Div. 2, based on VK Cup 2018 Final)",Aug/19/2018 16:35,1195,2,21,1714,Expert
18,"AIM Tech Round 5 (rated, Div. 1 + Div. 2)",Aug/27/2018 19:35,2471,2,-85,1629,Expert
19,"Codeforces Round 507 (Div. 2, based on Olympiad of Metropolises)",Sep/05/2018 19:35,928,2,-2,1627,Expert
20,Codeforces Round 508 (Div. 2),Sep/06/2018 18:35,3127,2,-78,1549,Specialist
