#,Contest,Start time,Rank,Solved,Rating change,New rating,Title
1,Codeforces Round 807 (Div. 2),Jul/15/2022 16:35,2240,3,544,544,Newbie
2,Codeforces Round 808 (Div. 2),Jul/16/2022 17:35,3146,2,353,897,Newbie
3,Codeforces Round 809 (Div. 2),Jul/18/2022 17:35,187,4,468,1365,Pupil
4,Educational Codeforces Round 132 (Rated for Div. 2),Jul/21/2022 17:35,446,4,241,1606,Expert
5,Codeforces Round 810 (Div. 2),Jul/24/2022 17:35,200,3,188,1794,Expert
6,"CodeTON Round 2 (Div. 1 + Div. 2, Rated, Prizes!)",Jul/31/2022 17:05,1201,4,76,1870,Expert
7,Educational Codeforces Round 133 (Rated for Div. 2),Aug/04/2022 17:35,1241,3,-24,1846,Expert
8,Codeforces Round 812 (Div. 2),Aug/06/2022 17:35,2336,3,-69,1777,Expert
9,Codeforces Round 813 (Div. 2),Aug/13/2022 17:35,2526,3,-49,1728,Expert
10,Codeforces Round 814 (Div. 2),Aug/16/2022 17:35,1581,3,-25,1703,Expert
11,Codeforces Round 815 (Div. 2),Aug/18/2022 16:35,1974,3,-31,1672,Expert
12,Codeforces Round 816 (Div. 2),Aug/20/2022 17:35,750,4,53,1725,Expert
13,Educational Codeforces Round 134 (Rated for Div. 2),Aug/27/2022 17:35,113,5,147,1872,Expert
14,Codeforces Round 818 (Div. 2),Sep/02/2022 17:35,254,4,58,1930,Candidate Master
15,Codeforces Round 822 (Div. 2),Sep/23/2022 15:05,70,5,110,2040,Candidate Master
16,Codeforces Round 824 (Div. 2),Oct/02/2022 17:35,122,4,46,2086,Candidate Master
17,Codeforces Global Round 23,Oct/15/2022 17:35,860,4,-3,2083,Candidate Master
18,Codeforces Round 829 (Div. 1),Oct/23/2022 10:50,684,3,-37,2046,Candidate Master
19,Codeforces Round 832 (Div. 2),Nov/04/2022 17:35,32,4,116,2162,Master
