#,Contest,Start time,Rank,Solved,Rating change,New rating,Title
1,Codeforces Round 484 (Div. 2),May/17/2018 19:35,1861,2,-27,1473,Specialist
2,Codeforces Round 485 (Div. 2),May/29/2018 18:35,1809,2,-21,1452,Specialist
3,"Codeforces Round 492 (Div. 2) [Thanks, uDebug!]",Jun/24/2018 19:35,712,3,63,1515,Specialist
4,Educational Codeforces Round 46 (Rated for Div. 2),Jun/27/2018 17:35,625,3,69,1584,Specialist
5,Codeforces Round 497 (Div. 2),Jul/13/2018 17:35,929,3,17,1601,Expert
6,"AIM Tech Round 5 (rated, Div. 1 + Div. 2)",Aug/27/2018 19:35,1499,2,-2,1599,Specialist
7,"Manthan, Codefest 18 (rated, Div. 1 + Div. 2)",Sep/02/2018 17:35,1915,3,-10,1589,Specialist
8,"Codeforces Round 507 (Div. 2, based on Olympiad of Metropolises)",Sep/05/2018 19:35,613,2,38,1627,Expert
9,Codeforces Round 510 (Div. 2),Sep/17/2018 11:05,1089,2,-20,1607,Expert
10,Codeforces Round 511 (Div. 2),Sep/21/2018 17:35,2140,2,-54,1553,Specialist
11,Codeforces Round 514 (Div. 2),Oct/05/2018 17:35,1411,3,10,1563,Specialist
12,Lyft Level 5 Challenge 2018 - Elimination Round,Oct/07/2018 20:05,836,3,66,1629,Expert
13,Educational Codeforces Round 62 (Rated for Div. 2),Mar/22/2019 18:05,757,4,38,1667,Expert
14,Codeforces Global Round 2,Apr/06/2019 14:35,1695,3,-2,1665,Expert
15,Educational Codeforces Round 68 (Rated for Div. 2),Jul/14/2019 17:45,1177,4,6,1671,Expert
16,Educational Codeforces Round 80 (Rated for Div. 2),Jan/14/2020 17:35,1039,3,22,1693,Expert
17,"Ozon Tech Challenge 2020 (Div.1 + Div.2, Rated, T-shirts + prizes!)",Mar/03/2020 17:35,1322,4,51,1744,Expert
18,CodeCraft-20 (Div. 2),Mar/04/2020 17:35,430,4,69,1813,Expert
19,"Codeforces Round 626 (Div. 2, based on Moscow Open Olympiad in Informatics)",Mar/07/2020 12:35,1307,3,-53,1760,Expert
20,Educational Codeforces Round 83 (Rated for Div. 2),Mar/09/2020 17:35,562,4,53,1813,Expert
21,Codeforces Round 628 (Div. 2),Mar/14/2020 17:35,889,4,19,1832,Expert
