#,Contest,Start time,Rank,Solved,Rating change,New rating,Title
1,Codeforces Round 579 (Div. 3),Aug/13/2019 17:35,9,8,265,1765,Expert
2,Codeforces Round 630 (Div. 2),Mar/31/2020 16:35,48,5,215,1980,Candidate Master
3,Codeforces Round 635 (Div. 1),Apr/15/2020 17:35,66,4,243,2223,Master
4,"Harbour.Space Scholarship Contest 2021-2022 (open for everyone, rated, Div. 1 + Div. 2)",Jul/22/2021 17:35,251,5,50,2273,Master
5,"CodeTON Round 1 (Div. 1 + Div. 2, Rated, Prizes!)",Mar/24/2022 17:35,119,6,113,2386,International Master
6,Codeforces Global Round 22,Sep/30/2022 17:35,119,6,72,2458,Grandmaster
7,Dytechlab Cup 2022,Oct/07/2022 17:35,126,5,47,2505,Grandmaster
8,Codeforces Global Round 23,Oct/15/2022 17:35,326,4,-23,2482,Grandmaster
9,Codeforces Round 829 (Div. 1),Oct/23/2022 10:50,218,5,-11,2471,Grandmaster
10,"Codeforces Round 850 (Div. 1, based on VK Cup 2022 - Final Round)",Feb/05/2023 15:05,71,4,90,2561,Grandmaster
