#,Contest,Start time,Rank,Solved,Rating change,New rating,Title
1,"Codeforces Round 289 (Div. 2, ACM ICPC Rules)",Jan/31/2015 15:00,217,3,228,1728,Expert
2,ZeptoLab Code Rush 2015,Apr/04/2015 19:35,265,3,233,1961,Candidate Master
3,"VK Cup 2015 - Round 2 (unofficial online mirror, Div. 1 only)",Apr/17/2015 19:00,28,4,132,2093,Candidate Master
4,Codeforces Round 302 (Div. 1),May/07/2015 19:30,506,0,-102,1991,Candidate Master
5,Good Bye 2015,Dec/30/2015 18:05,176,5,93,2084,Candidate Master
6,Codeforces Global Round 3,Jun/01/2019 17:35,509,3,-1,2083,Candidate Master
7,Codeforces Round 659 (Div. 1),Jul/24/2020 17:35,662,2,-6,2077,Candidate Master
8,Educational Codeforces Round 92 (Rated for Div. 2),Jul/29/2020 17:35,575,4,-7,2070,Candidate Master
9,Codeforces Round 660 (Div. 2),Jul/30/2020 17:35,165,4,53,2123,Master
10,Codeforces Raif Round 1 (Div. 1 + Div. 2),Oct/17/2020 16:05,5425,1,-195,1928,Candidate Master
11,"Codeforces Round 681 (Div. 1, based on VK Cup 2019-2020 - Final)",Nov/02/2020 17:35,875,0,-91,1837,Expert
12,Codeforces Round 684 (Div. 2),Nov/17/2020 17:35,9655,0,-197,1640,Expert
13,Codeforces Round 746 (Div. 2),Oct/03/2021 17:35,6515,1,-126,1514,Specialist
14,Codeforces Round 771 (Div. 2),Feb/14/2022 17:35,167,4,200,1714,Expert
15,Codeforces Round 772 (Div. 2),Feb/20/2022 17:35,28,5,219,1933,Candidate Master
16,Educational Codeforces Round 123 (Rated for Div. 2),Feb/22/2022 17:35,446,5,9,1942,Candidate Master
17,Codeforces Round 774 (Div. 2),Mar/04/2022 18:35,149,4,59,2001,Candidate Master
18,Educational Codeforces Round 124 (Rated for Div. 2),Mar/10/2022 17:35,851,3,-51,1950,Candidate Master
19,Codeforces Round 777 (Div. 2),Mar/11/2022 17:35,12,5,196,2146,Master
20,"Codeforces Round 778 (Div. 1 + Div. 2, based on Technocup 2022 Final Round)",Mar/20/2022 14:35,252,5,73,2219,Master
21,Codeforces Global Round 21,Jun/25/2022 17:35,456,5,18,2237,Master
22,"CodeTON Round 2 (Div. 1 + Div. 2, Rated, Prizes!)",Jul/31/2022 17:05,1241,4,-73,2164,Master
23,Codeforces Global Round 22,Sep/30/2022 17:35,221,6,85,2249,Master
