#,Contest,Start time,Rank,Solved,Rating change,New rating,Title
1,Codeforces Round 592 (Div. 2),Oct/13/2019 12:05,201,5,184,1684,Expert
2,Codeforces Global Round 5,Oct/16/2019 17:35,2139,3,-7,1677,Expert
3,Codeforces Round 593 (Div. 2),Oct/17/2019 16:35,2971,2,-65,1612,Expert
4,Educational Codeforces Round 75 (Rated for Div. 2),Oct/24/2019 18:05,98,5,185,1797,Expert
5,Educational Codeforces Round 85 (Rated for Div. 2),Apr/10/2020 17:35,5721,2,-83,1714,Expert
6,Codeforces Round 633 (Div. 2),Apr/12/2020 17:05,897,4,40,1754,Expert
7,Codeforces Round 635 (Div. 2),Apr/15/2020 17:35,13,5,246,2000,Candidate Master
8,Codeforces Round 638 (Div. 2),May/01/2020 17:35,304,4,52,2052,Candidate Master
9,Educational Codeforces Round 88 (Rated for Div. 2),May/28/2020 17:35,1002,4,-32,2020,Candidate Master
10,Codeforces Round 646 (Div. 2),May/31/2020 17:35,544,4,19,2039,Candidate Master
11,"Codeforces Round 647 (Div. 1) - Thanks, Algo Muse!",Jun/04/2020 17:35,631,2,2,2041,Candidate Master
12,Codeforces Round 648 (Div. 2),Jun/07/2020 17:35,593,5,4,2045,Candidate Master
13,Educational Codeforces Round 89 (Rated for Div. 2),Jun/11/2020 17:35,1049,3,-36,2009,Candidate Master
14,Codeforces Round 649 (Div. 2),Jun/13/2020 18:05,212,4,65,2074,Candidate Master
15,Codeforces Global Round 8,Jun/18/2020 17:45,169,5,136,2210,Master
16,Codeforces Global Round 9,Jul/04/2020 17:45,706,4,7,2217,Master
17,Codeforces Round 658 (Div. 1),Jul/21/2020 17:35,858,3,-63,2154,Master
18,Codeforces Round 659 (Div. 1),Jul/24/2020 17:35,179,2,96,2250,Master
19,Codeforces Round 664 (Div. 1),Aug/12/2020 17:35,897,0,-116,2134,Master
20,Codeforces Global Round 10,Aug/16/2020 17:35,835,5,-13,2121,Master
