#,Contest,Start time,Rank,Solved,Rating change,New rating,Title
1,Codeforces Round 664 (Div. 2),Aug/12/2020 17:35,3628,2,523,523,Newbie
2,"Codeforces Round 679 (Div. 2, based on Technocup 2021 Elimination Round 1)",Oct/25/2020 14:05,913,3,423,946,Newbie
3,"Codeforces Round 680 (Div. 2, based on Moscow Team Olympiad)",Nov/01/2020 14:05,1230,3,282,1228,Pupil
4,"Codeforces Round 687 (Div. 2, based on Technocup 2021 Elimination Round 2)",Nov/29/2020 10:05,2120,2,116,1344,Pupil
5,Codeforces Round 706 (Div. 2),Mar/10/2021 15:05,453,3,223,1567,Specialist
6,"Codeforces Round 707 (Div. 2, based on Moscow Open Olympiad in Informatics)",Mar/13/2021 12:05,4531,1,-60,1507,Specialist
7,Educational Codeforces Round 109 (Rated for Div. 2),May/16/2021 11:00,435,3,126,1633,Expert
8,Codeforces Round 727 (Div. 2),Jun/20/2021 13:05,3328,2,-61,1572,Specialist
9,"Codeforces Round 755 (Div. 2, based on Technocup 2022 Elimination Round 2)",Nov/14/2021 09:05,319,3,79,1651,Expert
10,Codeforces Round 758 (Div.1 + Div. 2),Dec/11/2021 13:05,523,3,117,1768,Expert
11,Codeforces Global Round 19,Feb/12/2022 17:35,952,4,65,1833,Expert
12,Codeforces Round 773 (Div. 2),Feb/23/2022 13:10,8,5,212,2045,Candidate Master
13,"Codeforces Round 775 (Div. 1, based on Moscow Open Olympiad in Informatics)",Mar/06/2022 12:55,593,2,-27,2018,Candidate Master
14,"Codeforces Round 778 (Div. 1 + Div. 2, based on Technocup 2022 Final Round)",Mar/20/2022 14:35,516,4,44,2062,Candidate Master
15,Codeforces Round 829 (Div. 1),Oct/23/2022 10:50,626,3,-17,2045,Candidate Master
16,"CodeTON Round 3 (Div. 1 + Div. 2, Rated, Prizes!)",Nov/06/2022 17:35,383,4,63,2108,Master
17,"Codeforces Round 844 (Div. 1 + Div. 2, based on VK Cup 2022 - Elimination Round)",Jan/15/2023 15:05,604,4,6,2114,Master
