#,Contest,Start time,Rank,Solved,Rating change,New rating,Title
1,"Codeforces Round 492 (Div. 2) [Thanks, uDebug!]",Jun/24/2018 19:35,1895,2,-35,1465,Specialist
2,Educational Codeforces Round 46 (Rated for Div. 2),Jun/27/2018 17:35,1321,2,16,1481,Specialist
3,Codeforces Round 493 (Div. 2),Jul/01/2018 17:05,329,3,117,1598,Specialist
4,Codeforces Round 494 (Div. 3),Jul/03/2018 17:35,73,4,110,1708,Expert
5,Codeforces Round 495 (Div. 2),Jul/05/2018 19:35,834,3,-11,1697,Expert
6,Codeforces Round 497 (Div. 2),Jul/13/2018 17:35,309,3,55,1752,Expert
7,Educational Codeforces Round 47 (Rated for Div. 2),Jul/14/2018 17:35,1183,3,-39,1713,Expert
8,Codeforces Round 499 (Div. 2),Jul/26/2018 18:05,1738,2,-59,1654,Expert
9,Codeforces Round 500 (Div. 2) [based on EJOI],Jul/30/2018 11:15,241,4,69,1723,Expert
10,Educational Codeforces Round 48 (Rated for Div. 2),Aug/03/2018 17:45,2352,2,-77,1646,Expert
11,"Codeforces Round 503 (by SIS, Div. 2)",Aug/11/2018 16:35,224,3,95,1741,Expert
12,"Codeforces Round 504 (rated, Div. 1 + Div. 2, based on VK Cup 2018 Final)",Aug/17/2018 17:35,782,3,42,1783,Expert
13,"Codeforces Round 505 (rated, Div. 1 + Div. 2, based on VK Cup 2018 Final)",Aug/19/2018 16:35,1308,2,-11,1772,Expert
14,"AIM Tech Round 5 (rated, Div. 1 + Div. 2)",Aug/27/2018 19:35,898,3,6,1778,Expert
15,"Manthan, Codefest 18 (rated, Div. 1 + Div. 2)",Sep/02/2018 17:35,1356,4,-19,1759,Expert
16,"Codeforces Round 507 (Div. 2, based on Olympiad of Metropolises)",Sep/05/2018 19:35,27,3,156,1915,Candidate Master
17,Codeforces Round 508 (Div. 2),Sep/06/2018 18:35,637,4,-16,1899,Expert
18,Educational Codeforces Round 50 (Rated for Div. 2),Sep/07/2018 17:35,1282,3,-67,1832,Expert
19,Codeforces Round 509 (Div. 2),Sep/16/2018 13:35,332,5,37,1869,Expert
20,Codeforces Round 510 (Div. 2),Sep/17/2018 11:05,403,4,-5,1864,Expert
21,Codeforces Round 511 (Div. 2),Sep/21/2018 17:35,613,3,-28,1836,Expert
22,"Codeforces Round 512 (Div. 2, based on Technocup 2019 Elimination Round 1)",Sep/23/2018 16:05,685,4,-35,1801,Expert
23,Educational Codeforces Round 52 (Rated for Div. 2),Oct/11/2018 17:50,260,3,59,1860,Expert
