#,Contest,Start time,Rank,Solved,Rating change,New rating,Title
1,"Codeforces Round 405 (rated, Div. 2, based on VK Cup 2017 Round 1)",Mar/18/2017 18:35,1236,2,-3,1497,Specialist
2,"Codeforces Round 409 (rated, Div. 2, based on VK Cup 2017 Round 2)",Apr/16/2017 18:35,576,2,37,1534,Specialist
3,"Codeforces Round 412 (rated, Div. 2, base on VK Cup 2017 Round 3)",May/07/2017 18:45,82,3,158,1692,Expert
4,Codeforces Round 419 (Div. 2),Jun/17/2017 17:35,2237,1,-91,1601,Expert
5,Codeforces Round 422 (Div. 2),Jul/02/2017 19:05,207,3,88,1689,Expert
6,"Codeforces Round 423 (Div. 2, rated, based on VK Cup Finals)",Jul/11/2017 19:45,416,3,32,1721,Expert
7,Codeforces Round 426 (Div. 2),Jul/30/2017 17:35,148,3,90,1811,Expert
8,Codeforces Round 428 (Div. 2),Aug/12/2017 17:35,1423,2,-62,1749,Expert
9,Codeforces Round 429 (Div. 2),Aug/18/2017 18:05,242,3,52,1801,Expert
10,AIM Tech Round 4 (Div. 2),Aug/24/2017 19:35,22,4,146,1947,Candidate Master
11,"Codeforces Round 432 (Div. 1, based on IndiaHacks Final Round 2017)",Sep/04/2017 17:35,290,1,-25,1922,Candidate Master
12,MemSQL Start[c]UP 3.0 - Round 1,Sep/16/2017 20:35,495,3,-5,1917,Candidate Master
13,MemSQL Start[c]UP 3.0 - Round 2 and Codeforces Round 437 (Div. 1),Sep/30/2017 20:05,238,2,26,1943,Candidate Master
14,Codeforces Round 449 (Div. 1),Dec/02/2017 17:05,278,1,0,1943,Candidate Master
15,Good Bye 2017,Dec/29/2017 18:40,357,4,68,2011,Candidate Master
16,"Codecraft-18 and Codeforces Round 458 (Div. 1 + Div. 2, combined)",Jan/20/2018 18:35,510,4,-3,2008,Candidate Master
17,Codeforces Round 467 (Div. 1),Feb/25/2018 19:05,154,2,51,2059,Candidate Master
18,"Codeforces Round 468 (Div. 1, based on Technocup 2018 Final Round)",Mar/04/2018 18:35,202,3,16,2075,Candidate Master
19,"Codeforces Round 470 (rated, Div. 1, based on VK Cup 2018 Round 1)",Mar/10/2018 18:35,68,4,122,2197,Master
20,Codeforces Round 488 by NEAR (Div. 1),Jun/16/2018 19:35,348,1,-84,2113,Master
21,"Codeforces Round 492 (Div. 1) [Thanks, uDebug!]",Jun/24/2018 19:35,433,0,-103,2010,Candidate Master
22,Educational Codeforces Round 46 (Rated for Div. 2),Jun/27/2018 17:35,223,4,1,2011,Candidate Master
23,Codeforces Round 493 (Div. 1),Jul/01/2018 17:05,425,1,-71,1940,Candidate Master
24,Codeforces Round 495 (Div. 2),Jul/05/2018 19:35,39,4,112,2052,Candidate Master
25,Codeforces Round 497 (Div. 1),Jul/13/2018 17:35,139,1,50,2102,Master
26,"Codeforces Round 503 (by SIS, Div. 1)",Aug/11/2018 16:35,57,2,133,2235,Master
27,"Codeforces Round 504 (rated, Div. 1 + Div. 2, based on VK Cup 2018 Final)",Aug/17/2018 17:35,244,4,2,2237,Master
28,"Codeforces Round 505 (rated, Div. 1 + Div. 2, based on VK Cup 2018 Final)",Aug/19/2018 16:35,114,4,57,2294,Master
29,"AIM Tech Round 5 (rated, Div. 1 + Div. 2)",Aug/27/2018 19:35,173,4,8,2302,International Master
30,"Manthan, Codefest 18 (rated, Div. 1 + Div. 2)",Sep/02/2018 17:35,19,6,151,2453,Grandmaster
31,Mail.Ru Cup 2018 Round 2,Nov/10/2018 17:35,254,3,-65,2388,International Master
32,Mail.Ru Cup 2018 Round 3,Nov/25/2018 19:35,76,6,40,2428,Grandmaster
33,Avito Cool Challenge 2018,Dec/16/2018 17:35,87,5,20,2448,Grandmaster
34,Good Bye 2018,Dec/30/2018 17:35,395,4,-44,2404,Grandmaster
35,Hello 2019,Jan/04/2019 17:45,55,5,93,2497,Grandmaster
36,Codeforces Round 530 (Div. 1),Jan/05/2019 19:35,241,2,-78,2419,Grandmaster
37,Codeforces Round 539 (Div. 1),Feb/16/2019 19:35,244,2,-78,2341,International Master
38,Codeforces Round 549 (Div. 1),Mar/30/2019 20:10,81,3,19,2360,International Master
39,Codeforces Global Round 2,Apr/06/2019 14:35,135,5,33,2393,International Master
40,Forethought Future Cup - Elimination Round,Apr/20/2019 21:05,60,6,59,2452,Grandmaster
41,Codeforces Round 569 (Div. 1),Jun/21/2019 20:05,273,2,-90,2362,International Master
42,Codeforces Round 572 (Div. 1),Jul/05/2019 18:05,62,3,62,2424,Grandmaster
43,Codeforces Round 573 (Div. 1),Jul/12/2019 17:35,173,4,-27,2397,International Master
44,Codeforces Global Round 4,Jul/20/2019 18:35,293,6,-35,2362,International Master
45,Codeforces Round 576 (Div. 1),Jul/30/2019 17:35,123,4,17,2379,International Master
46,Codeforces Round 580 (Div. 1),Aug/18/2019 16:45,312,2,-55,2324,International Master
47,Codeforces Round 607 (Div. 1),Dec/15/2019 08:05,163,3,-26,2298,Master
48,Hello 2020,Jan/04/2020 15:05,425,4,-3,2295,Master
49,Codeforces Round 612 (Div. 1),Jan/05/2020 17:05,257,2,0,2295,Master
50,Codeforces Round 616 (Div. 1),Feb/02/2020 17:05,508,2,-69,2226,Master
51,Codeforces Round 635 (Div. 1),Apr/15/2020 17:35,599,2,-21,2205,Master
52,Codeforces Round 641 (Div. 1),May/12/2020 15:35,266,3,53,2258,Master
53,Codeforces Round 659 (Div. 1),Jul/24/2020 17:35,568,2,-33,2225,Master
54,Codeforces Global Round 24,Nov/26/2022 17:05,317,5,22,2247,Master
