#,Contest,Start time,Rank,Solved,Rating change,New rating,Title
1,Educational Codeforces Round 76 (Rated for Div. 2),Nov/13/2019 17:35,4906,2,-79,1421,Specialist
2,Codeforces Round 601 (Div. 2),Nov/19/2019 17:35,5170,1,-105,1316,Pupil
3,Educational Codeforces Round 77 (Rated for Div. 2),Nov/27/2019 16:50,4315,1,-55,1261,Pupil
4,Codeforces Round 604 (Div. 2),Dec/05/2019 17:35,3251,1,2,1263,Pupil
5,Codeforces Round 605 (Div. 3),Dec/12/2019 16:35,4768,1,-67,1196,Newbie
6,Codeforces Round 611 (Div. 3),Dec/28/2019 20:05,2712,2,23,1219,Pupil
7,Codeforces Round 612 (Div. 2),Jan/05/2020 17:05,5786,1,-79,1140,Newbie
8,Codeforces Round 614 (Div. 2),Jan/19/2020 16:35,3633,2,60,1200,Pupil
9,Codeforces Round 615 (Div. 3),Jan/22/2020 17:35,3978,3,39,1239,Pupil
10,Educational Codeforces Round 81 (Rated for Div. 2),Jan/29/2020 17:35,7518,1,-60,1179,Newbie
11,Codeforces Round 618 (Div. 2),Feb/09/2020 17:05,2915,2,93,1272,Pupil
12,Codeforces Round 624 (Div. 3),Feb/24/2020 17:35,1377,3,77,1349,Pupil
13,"Codeforces Round 625 (Div. 2, based on Technocup 2020 Final Round)",Mar/01/2020 16:15,1993,2,40,1389,Pupil
14,"Ozon Tech Challenge 2020 (Div.1 + Div.2, Rated, T-shirts + prizes!)",Mar/03/2020 17:35,3624,2,13,1402,Specialist
15,CodeCraft-20 (Div. 2),Mar/04/2020 17:35,3270,2,-5,1397,Pupil
16,Educational Codeforces Round 83 (Rated for Div. 2),Mar/09/2020 17:35,1330,4,100,1497,Specialist
17,Codeforces Round 627 (Div. 3),Mar/12/2020 16:05,182,5,129,1626,Expert
18,Codeforces Round 628 (Div. 2),Mar/14/2020 17:35,2159,3,4,1630,Expert
19,Codeforces Global Round 7,Mar/19/2020 17:35,3300,4,-2,1628,Expert
20,Educational Codeforces Round 84 (Rated for Div. 2),Mar/23/2020 17:35,1553,4,53,1681,Expert
21,Codeforces Round 630 (Div. 2),Mar/31/2020 16:35,1680,4,36,1717,Expert
22,"Codeforces Round 631 (Div. 2) - Thanks, Denis aramis Shitov!",Apr/03/2020 17:35,1232,3,25,1742,Expert
23,Codeforces Round 632 (Div. 2),Apr/08/2020 17:35,2047,3,4,1746,Expert
24,Educational Codeforces Round 85 (Rated for Div. 2),Apr/10/2020 17:35,2292,3,-1,1745,Expert
25,Codeforces Round 633 (Div. 2),Apr/12/2020 17:05,557,4,58,1803,Expert
26,Codeforces Round 635 (Div. 2),Apr/15/2020 17:35,2077,3,-24,1779,Expert
27,"Codeforces Round 637 (Div. 2) - Thanks, Ivan Belonogov!",Apr/23/2020 17:45,3321,3,-41,1738,Expert
28,Educational Codeforces Round 86 (Rated for Div. 2),Apr/26/2020 17:35,3729,2,-33,1705,Expert
29,Codeforces Round 638 (Div. 2),May/01/2020 17:35,1014,4,67,1772,Expert
30,Codeforces Round 641 (Div. 2),May/12/2020 15:35,1004,3,19,1791,Expert
31,Codeforces Round 643 (Div. 2),May/16/2020 14:35,963,4,41,1832,Expert
32,Educational Codeforces Round 87 (Rated for Div. 2),May/17/2020 12:20,2774,3,-57,1775,Expert
33,Codeforces Round 645 (Div. 2),May/26/2020 17:35,236,4,125,1900,Candidate Master
34,Educational Codeforces Round 88 (Rated for Div. 2),May/28/2020 17:35,2085,3,-41,1859,Expert
35,Codeforces Round 646 (Div. 2),May/31/2020 17:35,606,4,56,1915,Candidate Master
36,"Codeforces Round 647 (Div. 1) - Thanks, Algo Muse!",Jun/04/2020 17:35,1114,0,-93,1822,Expert
37,Codeforces Round 648 (Div. 2),Jun/07/2020 17:35,2664,4,-38,1784,Expert
38,Educational Codeforces Round 89 (Rated for Div. 2),Jun/11/2020 17:35,627,4,62,1846,Expert
39,Codeforces Round 649 (Div. 2),Jun/13/2020 18:05,552,3,57,1903,Candidate Master
40,Codeforces Round 651 (Div. 2),Jun/20/2020 17:35,687,4,24,1927,Candidate Master
41,Codeforces Round 652 (Div. 2),Jun/23/2020 17:05,749,4,8,1935,Candidate Master
42,Educational Codeforces Round 90 (Rated for Div. 2),Jun/25/2020 17:35,480,4,27,1962,Candidate Master
43,Codeforces Round 654 (Div. 2),Jul/01/2020 16:35,432,5,28,1990,Candidate Master
44,Codeforces Global Round 9,Jul/04/2020 17:45,3656,3,-90,1900,Candidate Master
45,Codeforces Round 657 (Div. 2),Jul/19/2020 12:00,264,3,91,1991,Candidate Master
46,Codeforces Round 659 (Div. 1),Jul/24/2020 17:35,712,2,9,2000,Candidate Master
47,Educational Codeforces Round 92 (Rated for Div. 2),Jul/29/2020 17:35,221,4,67,2067,Candidate Master
48,Codeforces Round 660 (Div. 2),Jul/30/2020 17:35,783,4,-27,2040,Candidate Master
49,Codeforces Round 662 (Div. 2),Aug/07/2020 17:35,500,3,4,2044,Candidate Master
50,Codeforces Round 663 (Div. 2),Aug/09/2020 17:35,422,4,7,2051,Candidate Master
51,Educational Codeforces Round 93 (Rated for Div. 2),Aug/14/2020 17:35,2059,3,-85,1966,Candidate Master
52,Codeforces Global Round 10,Aug/16/2020 17:35,1565,4,-28,1938,Candidate Master
53,Codeforces Round 665 (Div. 2),Aug/21/2020 17:35,355,4,47,1985,Candidate Master
54,Educational Codeforces Round 94 (Rated for Div. 2),Aug/25/2020 17:35,368,4,32,2017,Candidate Master
55,Codeforces Round 666 (Div. 1),Aug/30/2020 17:35,1075,1,-63,1954,Candidate Master
56,Codeforces Round 668 (Div. 1),Sep/06/2020 17:35,871,2,-24,1930,Candidate Master
57,Codeforces Round 669 (Div. 2),Sep/08/2020 17:35,676,3,17,1947,Candidate Master
58,Codeforces Round 670 (Div. 2),Sep/12/2020 16:45,159,4,86,2033,Candidate Master
59,Codeforces Round 671 (Div. 2),Sep/19/2020 17:35,627,5,-16,2017,Candidate Master
60,Codeforces Round 672 (Div. 2),Sep/24/2020 17:35,997,4,-36,1981,Candidate Master
61,Grakn Forces 2020,Sep/30/2020 17:35,887,4,21,2002,Candidate Master
62,Codeforces Round 675 (Div. 2),Oct/04/2020 19:05,215,3,35,2037,Candidate Master
63,Codeforces Global Round 11,Oct/10/2020 17:50,1725,2,-54,1983,Candidate Master
64,Educational Codeforces Round 96 (Rated for Div. 2),Oct/11/2020 12:05,56,5,110,2093,Candidate Master
65,Codeforces Round 676 (Div. 2),Oct/18/2020 12:05,169,4,27,2120,Master
66,"Codeforces Round 679 (Div. 1, based on Technocup 2021 Elimination Round 1)",Oct/25/2020 14:05,723,0,-98,2022,Candidate Master
67,Educational Codeforces Round 97 (Rated for Div. 2),Oct/27/2020 17:35,110,5,72,2094,Candidate Master
68,Educational Codeforces Round 98 (Rated for Div. 2),Nov/19/2020 17:35,911,4,-68,2026,Candidate Master
69,Codeforces Round 685 (Div. 2),Nov/21/2020 17:35,138,5,67,2093,Candidate Master
70,Educational Codeforces Round 99 (Rated for Div. 2),Nov/30/2020 17:35,1023,4,-65,2028,Candidate Master
71,Codeforces Global Round 12,Dec/06/2020 17:35,1141,3,-21,2007,Candidate Master
72,"Codeforces Round 689 (Div. 2, based on Zed Code Competition)",Dec/11/2020 17:35,1,5,290,2297,Master
73,"Codeforces Round 740 (Div. 1, based on VK Cup 2021 - Final (Engine))",Aug/24/2021 17:35,257,3,20,2317,International Master
74,Codeforces Round 767 (Div. 1),Jan/22/2022 17:35,415,3,-26,2291,Master
75,Codeforces Global Round 19,Feb/12/2022 17:35,206,6,62,2353,International Master
76,Codeforces Round 831 (Div. 1 + Div. 2),Oct/29/2022 12:10,124,5,43,2396,International Master
77,"CodeTON Round 3 (Div. 1 + Div. 2, Rated, Prizes!)",Nov/06/2022 17:35,255,5,4,2400,Grandmaster
