#,Contest,Start time,Rank,Solved,Rating change,New rating,Title
1,Codeforces Round 716 (Div. 2),Apr/19/2021 16:35,675,3,637,637,Newbie
2,Codeforces Round 717 (Div. 2),Apr/21/2021 16:35,758,3,447,1084,Newbie
3,Educational Codeforces Round 108 (Rated for Div. 2),Apr/29/2021 17:35,80,4,458,1542,Specialist
4,Codeforces Round 719 (Div. 3),May/05/2021 17:35,14660,1,-43,1499,Specialist
5,Codeforces Round 726 (Div. 2),Jun/18/2021 17:35,140,6,280,1779,Expert
6,"Harbour.Space Scholarship Contest 2021-2022 (open for everyone, rated, Div. 1 + Div. 2)",Jul/22/2021 17:35,2009,3,22,1801,Expert
7,Codeforces Round 735 (Div. 2),Jul/29/2021 17:35,200,4,106,1907,Candidate Master
8,Educational Codeforces Round 112 (Rated for Div. 2),Jul/30/2021 17:35,458,4,29,1936,Candidate Master
9,Codeforces Round 736 (Div. 1),Aug/01/2021 17:35,366,3,110,2046,Candidate Master
10,Codeforces Round 737 (Div. 2),Aug/09/2021 17:35,3148,2,-125,1921,Candidate Master
11,"Codeforces Round 740 (Div. 1, based on VK Cup 2021 - Final (Engine))",Aug/24/2021 17:35,574,3,29,1950,Candidate Master
12,Codeforces Round 741 (Div. 2),Aug/26/2021 17:35,219,4,53,2003,Candidate Master
13,"Deltix Round, Summer 2021 (open for everyone, rated, Div. 1 + Div. 2)",Aug/29/2021 17:35,449,5,77,2080,Candidate Master
14,Codeforces Round 742 (Div. 2),Sep/05/2021 17:35,97,5,60,2140,Master
15,Codeforces Global Round 16,Sep/12/2021 17:35,127,7,142,2282,Master
16,"Codeforces Round 755 (Div. 1, based on Technocup 2022 Elimination Round 2)",Nov/14/2021 09:05,59,4,120,2402,Grandmaster
17,Good Bye 2021: 2022 is NEAR,Dec/29/2021 18:35,224,5,37,2439,Grandmaster
18,"Codeforces Round 775 (Div. 1, based on Moscow Open Olympiad in Informatics)",Mar/06/2022 12:55,176,3,7,2446,Grandmaster
19,"Codeforces Round 778 (Div. 1 + Div. 2, based on Technocup 2022 Final Round)",Mar/20/2022 14:35,156,5,33,2479,Grandmaster
20,"CodeTON Round 1 (Div. 1 + Div. 2, Rated, Prizes!)",Mar/24/2022 17:35,498,5,-53,2426,Grandmaster
21,Codeforces Global Round 20,Apr/23/2022 17:05,529,5,-51,2375,International Master
22,Codeforces Round 789 (Div. 1),May/08/2022 17:35,50,4,132,2507,Grandmaster
23,Codeforces Round 792 (Div. 1 + Div. 2),May/19/2022 17:35,88,6,60,2567,Grandmaster
24,Codeforces Global Round 24,Nov/26/2022 17:05,151,6,-4,2563,Grandmaster
25,"Polynomial Round 2022 (Div. 1 + Div. 2, Rated, Prizes!)",Dec/17/2022 17:35,58,6,71,2634,International Grandmaster
