#,Contest,Start time,Rank,Solved,Rating change,New rating,Title
1,Educational Codeforces Round 83 (Rated for Div. 2),Mar/09/2020 17:35,2497,3,11,1511,Specialist
2,Codeforces Round 628 (Div. 2),Mar/14/2020 17:35,3027,3,4,1515,Specialist
3,Codeforces Global Round 7,Mar/19/2020 17:35,5287,3,-28,1487,Specialist
4,Codeforces Round 630 (Div. 2),Mar/31/2020 16:35,3209,3,38,1525,Specialist
5,Codeforces Round 632 (Div. 2),Apr/08/2020 17:35,1431,3,93,1618,Expert
6,Educational Codeforces Round 85 (Rated for Div. 2),Apr/10/2020 17:35,1503,4,65,1683,Expert
7,Codeforces Round 701 (Div. 2),Feb/12/2021 17:50,2079,2,-17,1666,Expert
8,Educational Codeforces Round 104 (Rated for Div. 2),Feb/15/2021 17:35,714,4,69,1735,Expert
9,Good Bye 2022: 2023 is NEAR,Dec/30/2022 17:35,327,5,200,1935,Candidate Master
10,Hello 2023,Jan/03/2023 17:35,125,6,208,2143,Master
